Hola hola I 1
! ! Fat 1
! ! Fat 1
! ! Fat 1

Hace hacer VMIP3S0 1
casi casi RG 1
3 3 Z 1
años año NCMP000 1
que que PR0CN000 0.562517
vivo vivir VMIP1S0 0.106796
en en SPS00 1
este este DD0MS0 0.960092
hermoso hermoso AQ0MS0 1
país país NCMS000 1
, , Fc 1
y y CC 0.999962
desde desde SPS00 1
que que PR0CN000 0.562517
llegué llegar VMIS1S0 1
a a SPS00 0.996023
Madrid madrid NP00000 1
, , Fc 1
en en SPS00 1
mayo_de_2002 [??:??/5/2002:??.??:??] W 1
, , Fc 1
vivo vivo AQ0MS0 0.883495
en en SPS00 1
el el DA0MS0 1
mismo mismo AQ0MS0 0.968254
piso piso NCMS000 0.983871
, , Fc 1
el el DA0MS0 1
cual cual PR0CS000 0.913223
me me PP1CS000 0.89124
encantó encantar VMIS3S0 1
ni ni CC 0.999182
bien bien RG 0.902728
llegué llegar VMIS1S0 1
, , Fc 1
ya_que ya_que CS 1
además_de además_de SPS00 1
estar estar VAN0000 1
amueblado amueblar VMP00SM 1
con con SPS00 1
muy muy RG 1
buen bueno AQ0MS0 1
gusto gusto NCMS000 0.991803
tenía tener VMII3S0 0.63448
todos todo DI0MP0 0.624221
los el DA0MP0 0.976481
electrodomésticos electrodoméstico NCMP000 0.432737
nuevos nuevo AQ0MP0 1
( ( Fpa 1
excepto excepto SPS00 1
el el DA0MS0 1
micro micro NCMS000 0.64273
, , Fc 1
que que CS 0.437483
me me PP1CS000 0.89124
lo lo PP3CNA00 0.271177
tuve tener VMIS1S0 1
que que CS 0.437483
comprar comprar VMN0000 1
yo yo PP1CSN00 1
) ) Fpt 1
. . Fp 1

El el DA0MS0 1
caso caso NCMS000 0.99812
es ser VSIP3S0 1
que que CS 0.437483
pasados pasar VMP00PM 0.541863
un uno DI0MS0 0.987295
par par NCMS000 0.986111
de de SPS00 0.999984
días día NCMP000 1
tocaba tocar VMII3S0 0.65
lavar lavar VMN0000 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
, , Fc 1
y y CC 0.999962
yo yo PP1CSN00 1
estaba estar VAII1S0 0.5
