Mi mi DP1CSS 0.999101
lavadora lavadora NCFS000 0.414738
Balay balay NP00000 1
3 3 Z 1
TE806 TE806 Z 1
lleva llevar VMIP3S0 0.994792
unos uno DI0MP0 0.883987
cuantos cuanto DI0MP0 0.223504
años año NCMP000 1
con con SPS00 1
nosotros nosotros PP1MP000 1
y y CC 0.999962
hasta hasta SPS00 0.957698
la el DA0FS0 0.972269
fecha fecha NCFS000 0.953125
no no RN 0.998134
he haber VAIP1S0 0.993808
tenido tener VMP00SM 1
que que CS 0.437483
llamar llamar VMN0000 1
a a SPS00 1
el el DA0MS0 1
técnico técnico NCMS000 0.364494
, , Fc 1
y y CC 0.999962
espero esperar VMIP1S0 1
que que CS 0.437483
sigamos seguir VMSP1P0 0.825855
unos uno DI0MP0 0.883987
cuantos cuanto DI0MP0 0.223504
años año NCMP000 1
más más RG 1
así así RG 0.998812
. . Fp 1

Esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
es ser VSIP3S0 1
muy muy RG 1
sencilla sencillo AQ0FS0 1
de de SPS00 0.999984
utilizar utilizar VMN0000 1
: : Fd 1
- - Fg 1
Una uno DI0FS0 0.951575
vez vez NCFS000 1
metida meter VMP00SF 0.691767
la el DA0FS0 0.972269
ropa ropa NCFS000 1
hay haber VMIP3S0 1
que que CS 0.437483
seleccionar seleccionar VMN0000 1
a a SPS00 0.996023
la el DA0FS0 0.972269
temperatura temperatura NCFS000 1
que que PR0CN000 0.562517
quieres querer VMIP2S0 1
lavar lavar VMN0000 1
. . Fp 1

Tienes tener VMIP2S0 1
desde desde SPS00 1
0 0 Z 1
a a SPS00 0.996023
90ºC 90ºC Z 1
. . Fp 1

Yo yo PP1CSN00 1
casi casi RG 1
siempre siempre RG 1
la lo PP3FSA00 0.0277039
tengo tener VMIP1S0 1
a a SPS00 0.996023
30ºC 30ºC Z 1
, , Fc 1
a_menos_que a_menos_que CS 1
sea ser VSSP1S0 0.487293
ropa ropa NCFS000 1
blanca blanco AQ0FS0 0.96875
muy muy RG 1
sucia sucio AQ0FS0 1
que que PR0CN000 0.562517
lo lo PP3CNA00 0.271177
pongo poner VMIP1S0 1
a a SPS00 0.996023
50ºC 50ºC Z 1
. . Fp 1

- - Fg 1
Luego luego RG 0.996689
hay haber VMIP3S0 1
que que CS 0.437483
seleccionar seleccionar VMN0000 1
el el DA0MS0 1
programa programa NCMS000 0.953488
que que PR0CN000 0.562517
quieres querer VMIP2S0 1
, , Fc 1
puedes poder VMIP2S0 1
seleccionar seleccionar VMN0000 1
el el DA0MS0 1
de de SPS00 0.999984
algodón algodón NCMS000 1
, , Fc 1
el el DA0MS0 1
de de SPS00 0.999984
ropa ropa NCFS000 1
sintética sintético AQ0FS0 1
o o CC 0.999769
de de SPS00 0.999984
lana lana NCFS000 1
. . Fp 1

Yo yo PP1CSN00 1
el el DA0MS0 1
que que PR0CN000 0.562517
más más RG 1
utilizo utilizar VMIP1S0 1
es ser VSIP3S0 1
el el DA0MS0 1
de de SPS00 0.999984
algodón algodón NCMS000 1
. . Fp 1

Y y CC 0.999962
por por SPS00 1
último último AO0MS0 1
hay haber VMIP3S0 1
que que CS 0.437483
poner poner VMN0000 1
el el DA0MS0 1
jabón jabón NCMS000 1
, , Fc 1
yo yo PP1CSN00 1
llevo llevar VMIP1S0 1
muchos mucho DI0MP0 0.542614
años año NCMP000 1
usando usar VMG0000 1
jabones jabón NCMP000 0.995706
en en SPS00 1
gel gel NCMS000 1
porque porque CS 1
cuando cuando CS 0.985595
usaba usar VMII3S0 0.63001
en en SPS00 1
polvo polvo NCMS000 1
algunas_veces algunas_veces RG 1
se se P00CN000 0.465639
quedaban quedar VMII3P0 1
rastros rastro NCMP000 1
de de SPS00 0.999984
jabón jabón NCMS000 1
pero pero CC 0.999764
desde desde SPS00 1
que que CS 0.437483
uso uso NCMS000 0.98913
en en SPS00 1
gel gel NCMS000 1
no no RN 0.998134
me me PP1CS000 0.89124
pasa pasar VMIP3S0 0.985294
esto este PD0NS000 1
. . Fp 1

También también RG 1
puedes poder VMIP2S0 1
añadir añadir VMN0000 1
en en SPS00 1
la el DA0FS0 0.972269
cubeta cubeta NCFS000 1
suavizante suavizante AQ0CS0 0.657258
, , Fc 1
yo yo PP1CSN00 1
el el DA0MS0 1
jabón jabón NCMS000 1
lo lo PP3CNA00 0.271177
meto meter VMIP1S0 1
directamente directamente RG 1
en en SPS00 1
un uno DI0MS0 0.987295
vasito vas NCMS00D 0.5
de de SPS00 0.999984
plástico plástico NCMS000 0.788462
junto_con junto_con SPS00 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
. . Fp 1

Y y CC 0.999962
una uno DI0FS0 0.951575
vez vez NCFS000 1
seleccionado seleccionar VMP00SM 1
todo todo PI0MS000 0.43165
hay haber VMIP3S0 1
que que CS 0.437483
dar dar VMN0000 1
a a SPS00 1
el el DA0MS0 1
botón botón NCMS000 1
de de SPS00 0.999984
marcha marcha NCFS000 0.98374
y y CC 0.999962
cuando cuando CS 0.985595
