Ho ho NP00000 1
y y CC 0.999962
os os PP2CP000 0.773585
voy ir VMIP1S0 1
a a SPS00 0.996023
hablar hablar VMN0000 1
de de SPS00 0.999984
mi mi DP1CSS 0.999101
lavadora lavadora NCFS000 0.414738
, , Fc 1
la lo PP3FSA00 0.0277039
tengo tener VMIP1S0 1
desde desde SPS00 1
hace hacer VMIP3S0 1
un uno DI0MS0 0.987295
año año NCMS000 1
y y CC 0.999962
medio medio AQ0MS0 0.314286
y y CC 0.999962
no no RN 0.998134
se se P00CN000 0.465639
cuanto cuanto PR0MS000 0.274336
tiempo tiempo NCMS000 1
estare estare VMSP3S0 1
con con SPS00 1
ella él PP3FS000 1
, , Fc 1
ya_que ya_que CS 1
vendo vendar VMIP1S0 0.15853
mi mi DP1CSS 0.999101
piso piso NCMS000 0.983871
y y CC 0.999962
se se P00CN000 0.465639
quedara quedar VMSI3S0 0.65
en en SPS00 1
la el DA0FS0 0.972269
cocina cocina NCFS000 0.972603
, , Fc 1
ya ya RG 0.999395
llevo llevar VMIP1S0 1
3 3 Z 1
mudanzas mudanza NCFP000 1
en en SPS00 1
4 4 Z 1
años año NCMP000 1
, , Fc 1
asi asi NCMS000 1
que que PR0CN000 0.562517
de de SPS00 0.999984
cocinas cocina NCFP000 0.973486
, , Fc 1
electrodomesticos electrodomesticos AQ0MP0 0.699977
y y CC 0.999962
todo todo PI0MS000 0.43165
lo lo PP3CNA00 0.271177
relacionado relacionar VMP00SM 1
con con SPS00 1
el el DA0MS0 1
mundo mundo NCMS000 1
inmobiliario inmobiliario AQ0MS0 1
estoy estar VAIP1S0 1
basatante basatante RG 0.234532
puesta poner VMP00SF 0.403846
. . Fp 1

Bueno bueno AQ0MS0 0.450479
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
es ser VSIP3S0 1
de de SPS00 0.999984
sencillo sencillo AQ0MS0 0.983871
manejo manejo NCMS000 0.973494
, , Fc 1
por por SPS00 1
que que PR0CN000 0.562517
buscaba buscar VMII3S0 0.5
algo algo PI0CS000 0.900246
sencillo sencillo AQ0MS0 0.983871
y y CC 0.999962
sin sin SPS00 1
complicaciones complicación NCFP000 1
, , Fc 1
tiene tener VMIP3S0 1
el el DA0MS0 1
tipico tipo NCMS00D 0.571417
programador programador AQ0MS0 0.657083
manual manual NCMS000 0.64261
