introducción introducción NCFS000 1
Mientras mientras NP00000 1
mi mi DP1CSS 0.999101
hermano hermano NCMS000 0.990196
cargaba cargar VMII3S0 0.65
las el DA0FP0 0.970954
dos 2 Z 0.991679
opis opis NCMS000 0.500006
que que PR0CN000 0.562517
podéis poder VMIP2P0 0.659557
ver ver VMN0000 0.997382
, , Fc 1
yo yo PP1CSN00 1
estaba estar VAII1S0 0.5
en en SPS00 1
el el DA0MS0 1
pueblo pueblo NCMS000 0.995495
con con SPS00 1
mi mi DP1CSS 0.999101
suegro suegro NCMS000 1
ayudando ayudar VMG0000 1
le le PP3CSD00 1
a a SPS00 0.996023
coger coger VMN0000 1
leña leña NCFS000 1
y y CC 0.999962
limpiar limpiar VMN0000 1
toda todo DI0FS0 0.982026
la el DA0FS0 0.972269
parcela parcela NCFS000 0.846947
de de SPS00 0.999984
hojas hoja NCFP000 1
y y CC 0.999962
claro claro RG 0.496212
llego llegar VMIP1S0 1
la el DA0FS0 0.972269
hora hora NCFS000 1
de de SPS00 0.999984
comer comer VMN0000 0.990196
y y CC 0.999962
comimos comer VMIS1P0 1
en en SPS00 1
casa casa NCFS000 0.979058
de de SPS00 0.999984
los el DA0MP0 0.976481
tíos tío NCMP000 1
de de SPS00 0.999984
mi mi DP1CSS 0.999101
mujer mujer NCFS000 0.969613
que que PR0CN000 0.562517
nos nos PP1CP000 0.935743
dejaron dejar VMIS3P0 1
las el DA0FP0 0.970954
llaves llave NCFP000 1
de de SPS00 0.999984
su su DP3CS0 1
casa casa NCFS000 0.979058
para para SPS00 0.999103
que que PR0CN000 0.562517
se se P00CN000 0.465639
la lo PP3FSA00 0.0277039
fuéramos ir VMSI1P0 0.34375
dejando dejar VMG0000 1
calentita calentito AQ0FS0 1
por por SPS00 1
que que PR0CN000 0.562517
iban ir VMII3P0 1
a a SPS00 0.996023
ir ir VMN0000 1
por por SPS00 1
la el DA0FS0 0.972269
noche noche NCFS000 1
, , Fc 1
Asi asi NP00000 1
que que CS 0.437483
después_de después_de SPS00 1
abrir abrir VMN0000 1
las el DA0FP0 0.970954
ventas venta NCFP000 1
y y CC 0.999962
poner poner VMN0000 1
la el DA0FS0 0.972269
calefacción calefacción NCFS000 1
pusimos poner VMIS1P0 1
la el DA0FS0 0.972269
mesa mesa NCFS000 0.980583
para para SPS00 0.999103
comer comer VMN0000 0.990196
y y CC 0.999962
cuando cuando CS 0.985595
estaba estar VAII1S0 0.5
buscando buscar VMG0000 1
los el DA0MP0 0.976481
vasos vaso NCMP000 1
abriendo abrir VMG0000 1
puertas puerta NCFP000 1
me me PP1CS000 0.89124
encuentro encontrar VMIP1S0 0.430556
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
y y CC 0.999962
a a SPS00 1
el el DA0MS0 1
lado lado NCMS000 1
el el DA0MS0 1
lavavajillas lavavajillas NCMN000 1
los el DA0MP0 0.976481
dos 2 Z 0.991679
de de SPS00 0.999984
la el DA0FS0 0.972269
marca marca NCFS000 0.972603
balay balay NCMS000 1
, , Fc 1
Asi asi NP00000 1
que que PR0CN000 0.562517
aproveche aprovechar VMSP3S0 0.567608
para para SPS00 0.999103
apuntar apuntar VMN0000 1
alguna alguno PI0FS000 0.0962733
de de SPS00 0.999984
las el DA0FP0 0.970954
características característica NCFP000 0.983871
que que PR0CN000 0.562517
se se P00CN000 0.465639
ven ver VMIP3P0 0.986111
a a SPS00 0.996023
simple simple AQ0CS0 0.994505
vista vista NCFS000 0.928205
y y CC 0.999962
luego luego RG 0.996689
me me PP1CS000 0.89124
comento comentar VMIP1S0 0.176396
mi mi DP1CSS 0.999101
tía tío NCFS000 1
política político AQ0FS0 0.304536
que que PR0CN000 0.562517
tal tal DD0CS0 0.748227
lavadora lavadora NCFS000 0.414738
era ser VSII1S0 0.491262
. . Fp 1

la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
La la NP00000 1
lavadora lavador AQ0FS0 0.585262
que que PR0CN000 0.562517
os os PP2CP000 0.773585
voy ir VMIP1S0 1
a a SPS00 0.996023
describir describir VMN0000 1
es ser VSIP3S0 1
de de SPS00 0.999984
color color NCMS000 1
blanco blanco AQ0MS0 0.598684
con con SPS00 1
el el DA0MS0 1
tambor tambor NCMS000 1
de de SPS00 0.999984
plástico plástico NCMS000 0.788462
para para SPS00 0.999103
poder poder VMN0000 0.281746
ver ver VMN0000 0.997382
la el DA0FS0 0.972269
ropa ropa NCFS000 1
, , Fc 1
con con SPS00 1
una uno DI0FS0 0.951575
capacidad capacidad NCFS000 1
para para SPS00 0.999103
meter meter VMN0000 1
en en SPS00 1
ella él PP3FS000 1
unos uno DI0MP0 0.883987
siete 7 Z 1
kilos kilo NCMP000 1
, , Fc 1
en en SPS00 1
la el DA0FS0 0.972269
parte parte NCFS000 0.499183
superior superior AQ0CS0 0.992424
encontramos encontrar VMIP1P0 0.65
la el DA0FS0 0.972269
marca marca NCFS000 0.972603
balay balay NCMS000 1
en en SPS00 1
color color NCMS000 1
negro negro AQ0MS0 0.544643
, , Fc 1
justo justo AQ0MS0 0.733871
en en SPS00 1
donde donde PR000000 0.967437
esta este DD0FS0 0.986779
la el DA0FS0 0.972269
marca marca NCFS000 0.972603
se se P00CN000 0.465639
encuentra encontrar VMIP3S0 0.994186
el el DA0MS0 1
cajetín cajetín NCMS000 1
donde donde PR000000 0.967437
uno uno PI0MS000 0.969022
tiene tener VMIP3S0 1
que que CS 0.437483
meter meter VMN0000 1
el el DA0MS0 1
jabón jabón NCMS000 1
o o CC 0.999769
el el DA0MS0 1
suavizan suavizar VMIP3P0 1
, , Fc 1
dependiendo depender VMG0000 1
de de SPS00 0.999984
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
haya haber VASP1S0 0.308235
metido meter VMP00SM 0.980769
dentro dentro RG 1
, , Fc 1
ademas adema NCFP000 0.973483
uno uno PI0MS000 0.969022
dentro_de dentro_de SPS00 1
el el DA0MS0 1
tambor tambor NCMS000 1
puede poder VMIP3S0 0.999117
meter meter VMN0000 1
también también RG 1
unas uno DI0FP0 0.937677
especie especie NCFS000 1
de de SPS00 0.999984
pastillas pastilla NCFP000 1
, , Fc 1
que que CS 0.437483
tenia tenia NCFS000 1
mi mi DP1CSS 0.999101
política política NCFS000 0.347732
allí allí RG 1
en en SPS00 1
un uno DI0MS0 0.987295
lado lado NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
. . Fp 1

Junto_a junto_a SPS00 1
el el DA0MS0 1
cajetín cajetín NCMS000 1
de de SPS00 1
el el DA0MS0 1
jabón jabón NCMS000 1
se se P00CN000 0.465639
encuentra encontrar VMIP3S0 0.994186
una uno DI0FS0 0.951575
rueda rueda NCFS000 0.72093
con con SPS00 1
números número NCMP000 1
y y CC 0.999962
nombres nombre NCMP000 0.991803
que que PR0CN000 0.562517
os os PP2CP000 0.773585
comento comentar VMIP1S0 0.176396
a a SPS00 0.996023
continuación continuación NCFS000 1
, , Fc 1
los el DA0MP0 0.976481
números número NCMP000 1
son ser VSIP3P0 0.988842
las el DA0FP0 0.970954
temperaturas temperatura NCFP000 1
a a SPS00 0.996023
los el DA0MP0 0.976481
que que PR0CN000 0.562517
