Hola hola I 1
amigos amigo NCMP000 0.993421
de de SPS00 0.999984
ciao ciao AQ0MS0 1
, , Fc 1
ante ante SPS00 0.998084
todo todo DI0MS0 0.560961
feliz feliz AQ0CS0 0.991071
dia dia NCFS000 1
de de SPS00 0.999984
martes [M:??/??/??:??.??:??] W 1
carnaval carnaval NCMS000 1
, , Fc 1
para para SPS00 0.999103
los el DA0MP0 0.976481
que que PR0CN000 0.562517
lo lo PP3CNA00 0.271177
hayais hayais VMSI2P0 0.0348632
podido poder VMP00SM 1
celebrar celebrar VMN0000 1
, , Fc 1
unos uno PI0MP000 0.116013
sin sin SPS00 1
frio frio NCMS000 0.581486
, , Fc 1
otros otro PI0MP000 0.430556
sin sin SPS00 1
mal mal RG 0.497537
tiempo tiempo NCMS000 1
, , Fc 1
otros otro PI0MP000 0.430556
sin sin SPS00 1
temporales temporal AQ0CP0 0.65727
, , Fc 1
otros otro PI0MP000 0.430556
sin sin SPS00 1
problemas problema NCMP000 1
, , Fc 1
en en SPS00 1
fin fin NCMS000 1
, , Fc 1
para para SPS00 0.999103
todo todo DI0MS0 0.560961
los el DA0MP0 0.976481
que que PR0CN000 0.562517
hayasi hayasi RG 1
o o CC 0.999769
podais podais VMIP2P0 0.0348632
pasar pasar VMN0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
bien bien RG 0.902728
, , Fc 1
mientras mientras CS 0.889785
aqui aqui VMIS1S0 0.499989
una uno DI0FS0 0.951575
, , Fc 1
pues pues CS 0.998047
nada nada PI0CS000 0.850279
, , Fc 1
a a SPS00 0.996023
escribir escribir VMN0000 1
, , Fc 1
y y CC 0.999962
no no RN 0.998134
se se P00CN000 0.465639
lo lo PP3CNA00 0.271177
que que PR0CN000 0.562517
pasa pasar VMIP3S0 0.985294
ni ni CC 0.999182
por por SPS00 1
la el DA0FS0 0.972269
calle calle NCFS000 0.987179
, , Fc 1
porque porque CS 1
hace hacer VMIP3S0 1
un uno DI0MS0 0.987295
frio frio NCMS000 0.581486
que_pela que_pela RG 1
. . Fp 1

En en SPS00 1
fin fin NCMS000 1
basta bastar VMIP3S0 0.964286
de de SPS00 0.999984
rollos rollo NCMP000 1
y y CC 0.999962
a a SPS00 0.996023
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
voy ir VMIP1S0 1
, , Fc 1
se se P00CN000 0.465639
trata tratar VMIP3S0 0.960396
esta este DD0FS0 0.986779
vez vez NCFS000 1
de de SPS00 0.999984
que que CS 0.437483
mi mi DP1CSS 0.999101
antigua antiguo AQ0FS0 0.953488
lavadora lavadora NCFS000 0.414738
, , Fc 1
pasao pasao AQ0MS0 1
a a SPS00 0.996023
mejor mejor AQ0CS0 0.873665
vida vida NCFS000 1
, , Fc 1
llevo llevar VMIP1S0 1
con con SPS00 1
la el DA0FS0 0.972269
nueva nuevo AQ0FS0 0.995283
, , Fc 1
dos 2 Z 0.991679
semanitas semana NCFP00D 1
, , Fc 1
que que CS 0.437483
aunque aunque CC 1
no no RN 0.998134
es ser VSIP3S0 1
mucho mucho RG 0.702081
ya ya RG 0.999395
se se P00CN000 0.465639
de de SPS00 0.999984
que que PR0CN000 0.562517
pie pie NCMS000 1
cojea cojear VMIP3S0 0.994867
, , Fc 1
porque porque CS 1
la lo PP3FSA00 0.0277039
he haber VAIP1S0 0.993808
dado dar VMP00SM 0.994186
una uno DI0FS0 0.951575
buena bueno AQ0FS0 1
tunda tunda NCFS000 0.918581
de de SPS00 0.999984
lavados lavado NCMP000 0.398218
, , Fc 1
somos ser VSIP1P0 1
5 5 Z 1
en en SPS00 1
casa casa NCFS000 0.979058
, , Fc 1
y y CC 0.999962
claro claro RG 0.496212
, , Fc 1
con con SPS00 1
lo el DA0NS0 0.457533
de de SPS00 1
el el DA0MS0 1
bar bar NCMS000 1
, , Fc 1
y y CC 0.999962
los el DA0MP0 0.976481
chicos chico NCMP000 0.993421
y y CC 0.999962
yo yo PP1CSN00 1
puese puese VMSI3S0 0.933333
eso ese PD0NS000 1
, , Fc 1
que que CS 0.437483
las lo PP3FPA00 0.0289466
doy dar VMIP1S0 1
un uno DI0MS0 0.987295
buen bueno AQ0MS0 1
trote trote NCMS000 0.918682
. . Fp 1

Bien bien RG 0.902728
el el DA0MS0 1
caso caso NCMS000 0.99812
, , Fc 1
es ser VSIP3S0 1
que que CS 0.437483
tal tal DD0CS0 0.748227
dia dia NCFS000 1
como como CS 0.999289
hoy hoy RG 0.883142
de de SPS00 0.999984
hace hacer VMIP3S0 1
15 15 Z 1
dias dias NCMS000 1
, , Fc 1
pues pues CS 0.998047
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
, , Fc 1
dijo decir VMIS3S0 1
que que CS 0.437483
no no RN 0.998134
queria queria NCFS000 0.933145
trabajar trabajar VMN0000 1
mas mas NCMS000 0.300463
, , Fc 1
asi asi NCMS000 1
que que CS 0.437483
pues pues CS 0.998047
nada nada PI0CS000 0.850279
, , Fc 1
empeze empeze VMIP3S0 0.286903
a a SPS00 0.996023
buscar buscar VMN0000 1
cual cual PR0CS000 0.913223
podia podia VMIP3S0 1
ser ser VSN0000 1
me me PP1CS000 1
util util AQ0CS0 1
, , Fc 1
y y CC 0.999962
ademas adema NCFP000 0.973483
buena bueno AQ0FS0 1
marca marca NCFS000 0.972603
, , Fc 1
de de SPS00 0.999984
confianza confianza NCFS000 1
, , Fc 1
y y CC 0.999962
que que CS 0.437483
diera dar VMSI3S0 0.632352
buenos bueno AQ0MP0 1
resultados resultado NCMP000 0.991071
. . Fp 1

Y y CC 0.999962
a a SPS00 1
el el DA0MS0 1
final final NCFS000 0.427762
fue ser VSIS3S0 0.935924
como como CS 0.999289
di dar VMIS1S0 0.994868
con con SPS00 1
esta este DD0FS0 0.986779
. . Fp 1

La el DA0FS0 0.972269
Bosch bosch NP00000 1
WFLI-2060EE WFLI-2060EE Z 1
, , Fc 1
que que PR0CN000 0.562517
es ser VSIP3S0 1
una uno DI0FS0 0.951575
marca marca NCFS000 0.972603
de de SPS00 0.999984
confianza confianza NCFS000 1
, , Fc 1
por por SPS00 1
lo lo PP3CNA00 0.271177
enos enos RG 0.720443
apra apra VMIP3S0 0.374944
mi mi DP1CSS 0.999101
, , Fc 1
y y CC 0.999962
que que PR0CN000 0.562517
espero esperar VMIP1S0 1
que que CS 0.437483
me me PP1CS000 0.89124
de de SPS00 0.999984
buen bueno AQ0MS0 1
resultado resultado NCMS000 0.827869
, , Fc 1
de de SPS00 0.999984
momento momento NCMS000 1
y y CC 0.999962
a a SPS00 0.996023
todo todo DI0MS0 0.560961
trapo trapo NCMS000 1
va ir VMIP3S0 1
de de SPS00 0.999984
maravilla maravilla NCFS000 0.846947
, , Fc 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
me me PP1CS000 0.89124
sale salir VMIP3S0 0.814516
mas mas CC 0.699537
limpia limpiar VMIP3S0 0.220087
que que CS 0.437483
antes antes RG 1
, , Fc 1
no no RN 0.998134
se se P00CN000 0.465639
arruga arrugar VMIP3S0 0.193642
tanto tanto RG 0.862252
, , Fc 1
y y CC 0.999962
desde_luego desde_luego RG 1
he haber VAIP1S0 0.993808
pegado pegar VMP00SM 0.680645
un uno DI0MS0 0.987295
buen bueno AQ0MS0 1
cambio cambio NCMS000 0.99505
. . Fp 1

En en SPS00 1
fin fin NCMS000 1
, , Fc 1
no no RN 0.998134
todo todo PI0MS000 0.43165
es ser VSIP3S0 1
gloria gloria NCFS000 1
y y CC 0.999962
esperanza esperanza NCFS000 0.975904
, , Fc 1
pues pues CS 0.998047
a a SPS00 0.996023
la el DA0FS0 0.972269
hora hora NCFS000 1
de de SPS00 0.999984
sacar sacar VMN0000 1
la lo PP3FSA00 1
de de SPS00 0.999984
la el DA0FS0 0.972269
cocina cocina NCFS000 0.972603
, , Fc 1
la el DA0FS0 0.972269
vieja viejo AQ0FS0 0.901786
y y CC 0.999962
de de SPS00 0.999984
meter meter VMN0000 1
la el DA0FS0 0.972269
nueva nuevo AQ0FS0 0.995283
, , Fc 1
se se P00CN000 0.465639
preparo preparar VMIP1S0 1
una uno DI0FS0 0.951575
odisea odisea NCFS000 1
, , Fc 1
que que CS 0.437483
no no RN 0.998134
fue ser VSIS3S0 0.935924
en en SPS00 1
el el DA0MS0 1
espacio espacio NCMS000 0.993421
exterior exterior AQ0CS0 0.708333
sino sino CC 0.986453
odisea odisea NCFS000 1
en en SPS00 1
el el DA0MS0 1
espacio espacio NCMS000 0.993421
de de SPS00 0.999984
mi mi DP1CSS 0.999101
cocina cocina NCFS000 0.972603
en en SPS00 1
Segovia segovia NP00000 1
, , Fc 1
una uno DI0FS0 0.951575
buena bueno AQ0FS0 1
odisea odisea NCFS000 1
. . Fp 1

Y y CC 0.999962
todo todo PI0MS000 0.43165
, , Fc 1
porque porque CS 1
este este DD0MS0 0.960092
verano verano NCMS000 1
nos nos PP1CP000 0.935743
han haber VAIP3P0 0.44
puesto poner VMP00SM 0.549505
una uno DI0FS0 0.951575
caldera caldera NCFS000 1
enorme enorme AQ0CS0 1
, , Fc 1
y y CC 0.999962
que que CS 0.437483
no no RN 0.998134
se se P00CN000 0.465639
puede poder VMIP3S0 0.999117
pasar pasar VMN0000 1
nada nada PI0CS000 0.850279
de de SPS00 0.999984
lectrodomesticos lectrodomesticos AQ0MP0 0.699977
, , Fc 1
hacia hacia SPS00 1
el el DA0MS0 1
lado lado NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
terraza terraza NCFS000 1
, , Fc 1
pues pues CS 0.998047
nos nos PP1CP000 0.935743
ha haber VAIP3S0 0.999255
dejado dejar VMP00SM 1
un uno DI0MS0 0.987295
pasillito pasillo NCMS00D 1
que que PR0CN000 0.562517
no no RN 0.998134
puedes poder VMIP2S0 1
meter meter VMN0000 1
nada nada PI0CS000 0.850279
, , Fc 1
pues pues CS 0.998047
para para SPS00 0.999103
sacar sacar VMN0000 1
la el DA0FS0 0.972269
antiuga antiuga NCFS000 0.857
, , Fc 1
la lo PP3FSA00 0.0277039
tuvieron tener VMIS3P0 1
que que CS 0.437483
poner poner VMN0000 1
en_volandas en_volandas RG 1
como como CS 0.999289
un uno DI0MS0 0.987295
metro metro NCMS000 1
y y CC 0.999962
medio medio NCMS000 0.262338
, , Fc 1
ya ya RG 0.999395
es ser VSIP3S0 1
levantar levantar VMN0000 1
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
, , Fc 1
eh eh I 1
¡ ¡ Faa 1
¡ ¡ Faa 1
¡ ¡ Faa 1
¡ ¡ Faa 1
, , Fc 1
pues pues CS 0.998047
asi asi NCMS000 1
fue ser VSIS3S0 0.935924
, , Fc 1
entre entre SPS00 0.998082
tres 3 Z 1
hombres hombre NCMP000 1
la lo PP3FSA00 0.0277039
pasaron pasar VMIS3P0 1
por por SPS00 1
encima encima RG 0.975904
, , Fc 1
y y CC 0.999962
luego luego RG 0.996689
tenian tenian VMIP3P0 1
que que CS 0.437483
poner poner VMN0000 1
la el DA0FS0 0.972269
nueva nuevo AQ0FS0 0.995283
, , Fc 1
pues pues CS 0.998047
ala ala NCFS000 0.961441
otra otro DI0FS0 0.803899
vez vez NCFS000 1
hacer hacer VMN0000 1
levantamiento levantamiento NCMS000 1
de de SPS00 0.999984
pesas pesa NCFP000 0.973497
, , Fc 1
y y CC 0.999962
madre madre NCFS000 1
mia mia NCFS000 1
, , Fc 1
menuda menudo AQ0FS0 1
la el DA0FS0 0.972269
que que PR0CN000 0.562517
se se P00CN000 0.465639
preparo preparar VMIP1S0 1
, , Fc 1
porque porque CS 1
como como CS 0.999289
hay haber VMIP3S0 1
que que CS 0.437483
levabtar levabtar VMN0000 0.923512
bastante bastante RG 0.776824
, , Fc 1
casi casi RG 1
no no RN 0.998134
les le PP3CPD00 1
daban dar VMII3P0 1
los el DA0MP0 0.976481
brazos brazo NCMP000 1
, , Fc 1
para para SPS00 0.999103
sujetar sujetar VMN0000 1
, , Fc 1
a a SPS00 1
el el DA0MS0 1
final final NCFS000 0.427762
todo todo DI0MS0 0.560961
salio salio NCMS000 0.542755
bien bien RG 0.902728
y y CC 0.999962
ya ya RG 0.999395
veis ver VMIP2P0 1
que que CS 0.437483
tengo tener VMIP1S0 1
mi mi DP1CSS 0.999101
lavadora lavadora NCFS000 0.414738
a a SPS00 0.996023
pelo pelo NCMS000 0.991071
rendimiento rendimiento NCMS000 1
, , Fc 1
y y CC 0.999962
funcionando funcionar VMG0000 1
de de SPS00 0.999984
maravilla maravilla NCFS000 0.846947
. . Fp 1

Se se P00CN000 0.465639
trata tratar VMIP3S0 0.960396
de de SPS00 0.999984
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
de de SPS00 0.999984
carga carga NCFS000 0.952569
frontal frontal AQ0CS0 0.657209
, , Fc 1
las el DA0FP0 0.970954
mejores mejor AQ0CP0 0.992424
, , Fc 1
aunque aunque CC 1
con con SPS00 1
mas mas NCMS000 0.300463
dolores dolor NCMP000 1
de de SPS00 0.999984
riñones riñón NCMP000 1
, , Fc 1
ya_que ya_que CS 1
las el DA0FP0 0.970954
de de SPS00 0.999984
carga carga NCFS000 0.952569
arriba arriba RG 0.986014
no no RN 0.998134
tienes tener VMIP2S0 1
que que CS 0.437483
agachar agachar VMN0000 1
se se PP3CN000 1
, , Fc 1
peroen peroen VMIP3P0 0.632152
fin fin NCMS000 1
, , Fc 1
la el DA0FS0 0.972269
mia mia NCFS000 1
sigue seguir VMIP3S0 0.996454
siendo ser VSG0000 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
frontal frontal AQ0CS0 0.657209
, , Fc 1
tiene tener VMIP3S0 1
el el DA0MS0 1
ojo ojo NCMS000 0.916667
de de SPS00 0.999984
buey buey NCMS000 1
como como CS 0.999289
yo yo PP1CSN00 1
digo decir VMIP1S0 1
, , Fc 1
mas mas CC 0.699537
grande grande AQ0CS0 0.97619
que que CS 0.437483
las el DA0FP0 0.970954
de de SPS00 0.999984
antes antes RG 1
, , Fc 1
asi asi NCMS000 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
se se P00CN000 0.465639
mete meter VMIP3S0 0.994868
mejor mejor AQ0CS0 0.873665
, , Fc 1
no no RN 0.998134
que que CS 0.437483
antes antes RG 1
tenia tenia NCFS000 1
que que CS 0.437483
estar estar VAN0000 1
apretando apretar VMG0000 1
hasta hasta SPS00 0.957698
que que PR0CN000 0.562517
se se P00CN000 0.465639
metia metia NCFS000 0.77786
, , Fc 1
