Hola hola I 1
a a SPS00 0.996023
todos todo DI0MP0 0.624221
Bueno bueno NP00000 1
pues pues CS 0.998047
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
de de SPS00 0.999984
mi mi DP1CSS 0.999101
casa casa NCFS000 0.979058
hace hacer VMIP3S0 1
poco poco RG 0.542435
que que CS 0.437483
dejo dejo NCMS000 0.973497
de de SPS00 0.999984
funcionar funcionar VMN0000 1
era ser VSII1S0 0.491262
una uno DI0FS0 0.951575
bosch bosch AQ0CN0 1
también también RG 1
nos nos PP1CP000 0.935743
gusta gustar VMIP3S0 0.983871
la el DA0FS0 0.972269
marca marca NCFS000 0.972603
esta este PD0FS000 0.0132212
ultima ultimar VMIP3S0 0.994868
nos nos PP1CP000 0.935743
había haber VAII1S0 0.353863
durado durar VMP00SM 1
9 9 Z 1
años año NCMP000 1
y y CC 0.999962
te te PP2CS000 0.940613
da dar VMIP3S0 0.996689
un uno DI0MS0 0.987295
poco poco PI0MS000 0.333333
de de SPS00 0.999984
confianza confianza NCFS000 1
porque porque CS 1
en en SPS00 1
ese ese DD0MS0 0.986111
periodo periodo NCMS000 1
de de SPS00 0.999984
tiempo tiempo NCMS000 1
hemos haber VAIP1P0 0.99061
cambiado cambiar VMP00SM 1
dos 2 Z 0.991679
calentadores calentador NCMP000 0.557063
y y CC 0.999962
es ser VSIP3S0 1
que que CS 0.437483
las el DA0FP0 0.970954
cosas cosa NCFP000 0.997312
cada cada DI0CS0 1
vez vez NCFS000 1
duran durar VMIP3P0 1
menos menos RG 1
( ( Fpa 1
seria serio AQ0FS0 0.841237
por por SPS00 1
esta este DD0FS0 0.986779
sociedad sociedad NCFS000 1
consumista consumista AQ0CS0 1
y y CC 0.999962
su su DP3CS0 1
economía economía NCFS000 1
que que PR0CN000 0.562517
está estar VAIP3S0 0.999201
basada basar VMP00SF 0.691767
en en SPS00 1
ello ello PD0NS000 1
por por SPS00 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
hacen hacer VMIP3P0 1
cada cada DI0CS0 1
vez vez NCFS000 1
los el DA0MP0 0.976481
aparatos aparato NCMP000 1
mas mas CC 0.699537
malos malo AQ0MP0 0.788462
y y CC 0.999962
mucho mucho DI0MS0 0.274918
mas mas NCMS000 0.300463
obsoletos obsoleto AQ0MP0 1
cada cada DI0CS0 1
vez vez NCFS000 1
pero pero CC 0.999764
bueno bueno AQ0MS0 0.451923
hay haber VMIP3S0 1
que que CS 0.437483
aguantar aguantar VMN0000 1
se se PP3CN000 1
esto este PD0NS000 1
son ser VSIP3P0 0.988842
los el DA0MP0 0.976481
inconvenientes inconveniente NCMP000 0.64265
de de SPS00 0.999984
tener tener VMN0000 1
todo todo DI0MS0 0.560961
tipo tipo NCMS000 1
de de SPS00 0.999984
aparatitos aparato NCMP00D 1
en en SPS00 1
la el DA0FS0 0.972269
casa casa NCFS000 0.979058
: : Fd 1
- - Fg 1
D d NP00000 0.411768
, , Fc 1
y y CC 0.999962
es ser VSIP3S0 1
que que CS 0.437483
ya ya RG 0.999395
quién quién PT0CS000 0.992958
vive vivir VMIP3S0 0.993421
sin sin SPS00 1
una uno DI0FS0 0.951575
es ser VSIP3S0 1
que que CS 0.437483
hay haber VMIP3S0 1
que que CS 0.437483
hacer hacer VMN0000 1
un uno DI0MS0 0.987295
esfuerzo esfuerzo NCMS000 0.991071
y y CC 0.999962
comprar comprar VMN0000 1
la lo PP3FSA00 1
) ) Fpt 1
Pues_bien pues_bien NP00000 1
como como CS 0.999289
os os PP2CP000 0.773585
he haber VAIP1S0 0.993808
dicho decir VMP00SM 0.991071
nosotros nosotros PP1MP000 1
ya ya RG 0.999395
teníamos tener VMII1P0 1
experiencia experiencia NCFS000 1
con con SPS00 1
esta este DD0FS0 0.986779
marca marca NCFS000 0.972603
por por SPS00 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
fuimos ir VMIS1P0 0.373684
a a SPS00 0.996023
la el DA0FS0 0.972269
cadena cadena NCFS000 1
Idea idea NP00000 1
que que PR0CN000 0.562517
hay haber VMIP3S0 1
cerca cerca RG 0.968085
de de SPS00 0.999984
mi mi DP1CSS 0.999101
casa casa NCFS000 0.979058
y y CC 0.999962
preguntamos preguntar VMIP1P0 0.649991
por por SPS00 1
ella él PP3FS000 1
, , Fc 1
bueno bueno I 0.548077
realmente realmente RG 1
íbamos ir VMII1P0 1
a a SPS00 0.996023
comprar comprar VMN0000 1
la el DA0FS0 0.972269
mas mas NCMS000 0.300463
barata barato AQ0FS0 0.382312
pero pero CC 0.999764
una uno DI0FS0 0.951575
vez vez NCFS000 1
allí allí RG 1
el el DA0MS0 1
dependiente dependiente NCMS000 0.442684
nos nos PP1CP000 0.935743
mostró mostrar VMIS3S0 1
varias varios DI0FP0 0.980583
y y CC 0.999962
aunque aunque CC 1
las el DA0FP0 0.970954
otras otro PI0FP000 0.265038
eran ser VSII3P0 0.972637
mas mas NCMS000 0.300463
baratas barato AQ0FP0 0.3573
( ( Fpa 1
no no RN 0.998134
mucho mucho RG 0.702081
más más RG 1
) ) Fpt 1
, , Fc 1
pero pero CC 0.999764
es ser VSIP3S0 1
que que CS 0.437483
las el DA0FP0 0.970954
pequeñas pequeño AQ0FP0 0.98913
diferencias diferencia NCFP000 0.983871
se se P00CN000 0.465639
pagan pagar VMIP3P0 1
como como CS 0.999289
sus su DP3CP0 0.999692
6 6 Z 1
Kg kg NP00000 1
. . Fp 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
( ( Fpa 1
por_lo_general por_lo_general RG 1
son ser VSIP3P0 0.988842
5kg 5kg Z 1
y y CC 0.999962
aunque aunque CC 1
parezca parecer VMSP3S0 0.618942
mentira mentira NCFS000 1
después después RG 1
ese ese DD0MS0 0.986111
minúsculo minúsculo AQ0MS0 1
Kg kg NP00000 1
. . Fp 1
se se P00CN000 0.465639
nota notar VMIP3S0 0.419995
) ) Fpt 1
, , Fc 1
y y CC 0.999962
con con SPS00 1
800 800 Z 1
rpm r.p.m. NCFN000 1
eso ese PD0NS000 1
si si CS 0.99954
podéis podar VMSP2P0 0.340443
decir decir VMN0000 1
me me PP1CS000 1
que que CS 0.437483
tampoco tampoco RG 1
hay haber VMIP3S0 1
tanta tanto DI0FS0 0.986111
diferencia diferencia NCFS000 0.759398
con con SPS00 1
su su DP3CS0 1
hermana hermano NCFS000 0.962264
mayor mayor AQ0CS0 0.997925
de de SPS00 0.999984
1000 1000 Z 1
rpm r.p.m. NCFN000 1
( ( Fpa 1
unos uno DI0MP0 0.883987
85 85 Z 1
euros euro NCMP000 1
) ) Fpt 1
pero pero CC 0.999764
es ser VSIP3S0 1
que que CS 0.437483
nosotros nosotros PP1MP000 1
tampoco tampoco RG 1
queremos querer VMIP1P0 1
tan tan RG 1
potencia potencia NCFS000 0.972603
no_sea_que no_sea_que CS 1
salgamos salgar VMIP1P0 0.422652
volando volar VMG0000 1
de de SPS00 1
el el DA0MS0 1
lavadero lavadero NCMS000 1
cuando cuando CS 0.985595
entremos entrar VMSP1P0 0.73595
y y CC 0.999962
este este NCMS000 0.00844206
funcionando funcionar VMG0000 1
: : Fd 1
- - Fg 1
D d NP00000 0.411768
( ( Fpa 1
es ser VSIP3S0 1
broma broma NCFS000 0.846947
una uno DI0FS0 0.951575
de de SPS00 0.999984
las el DA0FP0 0.970954
cualidades cualidad NCFP000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
es ser VSIP3S0 1
su su DP3CS0 1
poco poco DI0MS0 0.124231
ruido ruido NCMS000 1
apenas apenas RG 0.99569
si si CS 0.99954
se se P00CN000 0.465639
nota notar VMIP3S0 0.419995
que que CS 0.437483
esta este PD0FS000 0.0132212
funcionando funcionar VMG0000 1
y y CC 0.999962
eso ese PD0NS000 1
que que CS 0.437483
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
la lo PP3FSA00 0.0277039
tenemos tener VMIP1P0 1
cerca cerca RG 0.968085
de de SPS00 0.999984
donde donde PR000000 0.967437
tenemos tener VMIP1P0 1
la el DA0FS0 0.972269
TV tv NP00000 1
, , Fc 1
( ( Fpa 1
además además RG 1
como como CS 0.999289
nota notar VMIP3S0 0.419995
aclaratoria aclaratorio AQ0FS0 1
el el DA0MS0 1
dependiente dependiente NCMS000 0.442684
nos nos PP1CP000 0.935743
dijo decir VMIS3S0 1
que que CS 0.437483
con con SPS00 1
mayor mayor AQ0CS0 0.997925
revolución revolución NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
la el DA0FS0 0.972269
ropa ropa NCFS000 1
sale salir VMIP3S0 0.814516
mas mas NCMS000 0.300463
seca seco AQ0FS0 0.45723
pero pero CC 0.999764
que que PR0CN000 0.562517
también también RG 1
hace hacer VMIP3S0 1
sufrir sufrir VMN0000 1
a a SPS00 0.996023
las el DA0FP0 0.970954
prendas prenda NCFP000 0.95625
por por SPS00 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
te te PP2CS000 0.940613
duran durar VMIP3P0 1
menos menos RG 1
y y CC 0.999962
si si CS 0.99954
son ser VSIP3P0 0.988842
de de SPS00 0.999984
ZARA zara NP00000 1
menos menos RG 1
aun aun RG 0.861842
: : Fd 1
- - Fg 1
D d NP00000 0.411768
es ser VSIP3S0 1
broma broma NCFS000 0.846947
, , Fc 1
realmente realmente RG 1
nos nos PP1CP000 0.935743
decidimos decidir VMIS1P0 0.54998
porque porque CS 1
por_lo_general por_lo_general RG 1
la el DA0FS0 0.972269
gente gente NCFS000 1
se se P00CN000 0.465639
lleva llevar VMIP3S0 0.994792
la el DA0FS0 0.972269
de de SPS00 0.999984
800 800 Z 1
y y CC 0.999962
que que CS 0.437483
no no RN 0.998134
se se P00CN000 0.465639
quejan quejar VMIP3P0 1
ni ni CC 0.999182
de de SPS00 1
el el DA0MS0 1
ruido ruido NCMS000 1
ni ni CC 0.999182
de de SPS00 0.999984
nadas nada NCFP000 0.973497
, , Fc 1
por por SPS00 1
eso ese PD0NS000 1
nos nos PP1CP000 0.935743
decantamos decantar VMIP1P0 0.649991
por por SPS00 1
ella él PP3FS000 1
) ) Fpt 1
Una uno DI0FS0 0.951575
vez vez NCFS000 1
elegida elegir VMP00SF 0.609877
pues pues CS 0.998047
uno uno PI0MS000 0.969022
se se P00CN000 0.465639
interesa interesar VMIP3S0 0.994868
por por SPS00 1
sus su DP3CP0 0.999692
manditos mando NCMP00D 1
y y CC 0.999962
funciones función NCFP000 0.980769
( ( Fpa 1
que que CS 0.437483
para para SPS00 0.999103
el el DA0MS0 1
precio precio NCMS000 0.97619
425 425 Z 1
euros euro NCMP000 1
con con SPS00 1
una uno DI0FS0 0.951575
rebaja rebaja NCFS000 0.546947
de de SPS00 0.999984
10 10 Z 1
estaba estar VAII1S0 0.5
en en SPS00 1
435 435 Z 1
euros euro NCMP000 1
pues pues CS 0.998047
que que PR0CN000 0.562517
queréis querer VMIP2P0 1
tendrían tener VMIC3P0 1
que que CS 0.437483
lavar lavar VMN0000 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
sola solo AQ0FS0 1
, , Fc 1
otra otro DI0FS0 0.803899
cosilla cosilla NCFS000 0.65
que que PR0CN000 0.562517
le le PP3CSD00 1
preguntamos preguntar VMIP1P0 0.649991
fue ser VSIS3S0 0.935924
el el DA0MS0 1
precio precio NCMS000 0.97619
tan tan RG 1
alto alto AQ0MS0 0.994505
que que PR0CN000 0.562517
tenían tener VMII3P0 1
todas todo DI0FP0 0.950949
y y CC 0.999962
el el DA0MS0 1
dependiente dependiente NCMS000 0.442684
nos nos PP1CP000 0.935743
dijo decir VMIS3S0 1
que que CS 0.437483
desde desde SPS00 1
que que PR0CN000 0.562517
se se P00CN000 0.465639
tienen tener VMIP3P0 1
que que CS 0.437483
hacer_cargo hacer_cargo VMN0000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
recogida recogida NCFS000 0.608233
de de SPS00 0.999984
la el DA0FS0 0.972269
antigua antiguo AQ0FS0 0.953488
pues pues CS 0.998047
como como CS 0.999289
noo noo NCMS000 1
el el DA0MS0 1
precio precio NCMS000 0.97619
se se P00CN000 0.465639
repercute repercutir VMIP3S0 0.994868
en en SPS00 1
el el DA0MS0 1
consumidor consumidor NCMS000 0.492798
, , Fc 1
pero pero CC 0.999764
que que PR0CN000 0.562517
queréis querer VMIP2P0 1
que que CS 0.437483
os os PP2CP000 0.773585
diga decir VMSP1S0 0.424658
preferimos preferir VMIP1P0 0.64992
pagar pagar VMN0000 1
y y CC 0.999962
sobre sobre SPS00 0.997091
todo todo PI0MS000 0.43165
yo yo PP1CSN00 1
ese ese DD0MS0 0.986111
poco poco DI0MS0 0.124231
mas mas NCMS000 0.300463
para para SPS00 0.999103
que que PR0CN000 0.562517
se se P00CN000 0.465639
la lo PP3FSA00 0.0277039
lleven llevar VMSP3P0 0.97619
, , Fc 1
solo solo AQ0MS0 0.948498
aquellos aquel DD0MP0 0.865854
que que CS 0.437483
han haber VAIP3P0 0.44
tenido tener VMP00SM 1
que que CS 0.437483
tirar tirar VMN0000 1
una uno PI0FS000 0.0267135
saben saber VMIP3P0 1
que que CS 0.437483
pesan pesar VMIP3P0 1
como como CS 0.999289
un uno DI0MS0 0.987295
muerto muerto NCMS000 0.314815
, , Fc 1
pero pero CC 0.999764
bueno bueno AQ0MS0 0.451923
como como CS 0.999289
nota nota NCFS000 0.344634
aclaratoria aclaratorio AQ0FS0 1
para para SPS00 0.999103
todos todo DI0MP0 0.624221
aquellos aquel PD0MP000 0.134146
que que CS 0.437483
nos nos PP1CP000 0.935743
hemos haber VAIP1P0 0.99061
dado_cuenta dar_cuenta VMP00SM 1
que que CS 0.437483
en en SPS00 1
estos este DD0MP0 0.998084
últimos último AO0MP0 1
años año NCMP000 1
se se P00CN000 0.465639
habían haber VAII3P0 0.44
disparado disparar VMP00SM 1
un uno DI0MS0 0.987295
poco poco RG 0.542435
mas mas CC 0.699537
de de SPS00 0.999984
la el DA0FS0 0.972269
cuenta cuenta NCFS000 0.774691
, , Fc 1
pero pero CC 0.999764
también también RG 1
hay haber VMIP3S0 1
que que CS 0.437483
decir decir VMN0000 0.997512
que que CS 0.437483
todo todo PI0MS000 0.43165
sube subir VMIP3S0 0.994868
como como CS 0.999289
la el DA0FS0 0.972269
espuma espuma NCFS000 0.809429
menos menos RG 1
los el DA0MP0 0.976481
sueldos sueldo NCMP000 1
: : Fd 1
- - Fg 1
( ( Fpa 1
. . Fp 1
Bueno bueno AQ0MS0 0.450479
a a SPS00 0.996023
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
iba ir VMII3S0 0.635011
el el DA0MS0 1
cuadro cuadro NCMS000 0.953488
de de SPS00 0.999984
mando mando NCMS000 0.673514
es ser VSIP3S0 1
muy muy RG 1
intuitivo intuitivo AQ0MS0 1
y y CC 0.999962
fácil fácil AQ0CS0 1
de de SPS00 0.999984
usar usar VMN0000 1
y y CC 0.999962
en en SPS00 1
cuanto cuanto RG 0.716814
el el DA0MS0 1
dependiente dependiente NCMS000 0.442684
te te PP2CS000 0.940613
dice decir VMIP3S0 1
que que CS 0.437483
este este DD0MS0 0.960092
botón botón NCMS000 1
es ser VSIP3S0 1
para para SPS00 0.999103
esto este PD0NS000 1
y y CC 0.999962
que que CS 0.437483
el el DA0MS0 1
programa programa NCMS000 0.953488
es ser VSIP3S0 1
para para SPS00 0.999103
esto este PD0NS000 1
otro otro PI0MS000 0.387006
te te PP2CS000 0.940613
enteras enterar VMIP2S0 0.0256098
de de SPS00 0.999984
momento momento NCMS000 1
además además RG 1
básicamente básicamente RG 1
es ser VSIP3S0 1
igual igual AQ0CS0 0.73057
que que CS 0.437483
cualquier cualquiera DI0CS0 1
otra otro DI0FS0 0.803899
lavadora lavadora NCFS000 0.414738
( ( Fpa 1
con con SPS00 1
sus su DP3CP0 0.999692
pequeñas pequeño AQ0FP0 0.98913
explicaciones explicación NCFP000 1
a a SPS00 0.996023
los el DA0MP0 0.976481
lados lado NCMP000 1
que que PR0CN000 0.562517
te te PP2CS000 0.940613
orientan orientar VMIP3P0 1
un uno DI0MS0 0.987295
poquito poquito AQ0MS0 1
) ) Fpt 1
, , Fc 1
y y CC 0.999962
es ser VSIP3S0 1
que que CS 0.437483
básicamente básicamente RG 1
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
es ser VSIP3S0 1
igual igual AQ0CS0 0.73057
a a SPS00 0.996023
cualquier cualquiera DI0CS0 1
lavadora lavadora NCFS000 0.414738
, , Fc 1
por por SPS00 1
destacar destacar VMN0000 1
algo algo PI0CS000 0.900246
la el DA0FS0 0.972269
apertura apertura NCFS000 1
total total AQ0CS0 0.987805
de de SPS00 0.999984
la el DA0FS0 0.972269
puerta puerta NCFS000 1
en en SPS00 1
la el DA0FS0 0.972269
anterior anterior AQ0CS0 1
no no RN 0.998134
llega llegar VMIP3S0 0.996032
a a SPS00 0.996023
esos ese DD0MP0 0.971204
180º 180º Z 1
se se P00CN000 0.465639
quedaba quedar VMII3S0 0.65
un uno DI0MS0 0.987295
poquito poquito AQ0MS0 1
menos menos RG 1
. . Fp 1
Destacar destacar VMN0000 1
que que CS 0.437483
es ser VSIP3S0 1
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
con con SPS00 1
control control NCMS000 1
electrónico electrónico AQ0MS0 1
( ( Fpa 1
aunque aunque CC 1
