Esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
la lo PP3FSA00 0.0277039
tiene tener VMIP3S0 1
en en SPS00 1
casa casa NCFS000 0.979058
de de SPS00 0.999984
mi mi DP1CSS 0.999101
suegros suegro NCMP000 1
. . Fp 1

La lo PP3FSA00 0.0277039
hemos haber VAIP1P0 0.99061
tenido tener VMP00SM 1
que que CS 0.437483
usar usar VMN0000 1
en en SPS00 1
algunas alguno DI0FP0 0.764901
ocasiones ocasión NCFP000 0.992424
en en SPS00 1
la el DA0FS0 0.972269
que que PR0CN000 0.562517
hemos haber VAIP1P0 0.99061
tenido tener VMP00SM 1
alguna alguno DI0FS0 0.903727
incidencia incidencia NCFS000 1
con con SPS00 1
la el DA0FS0 0.972269
nuestra nuestro PX1FS0P0 0.0995146
. . Fp 1

Me me PP1CS000 0.89124
consta constar VMIP3S0 0.994868
que que CS 0.437483
la lo PP3FSA00 0.0277039
tienen tener VMIP3P0 1
desde desde SPS00 1
hace hacer VMIP3S0 1
más más RG 1
de de SPS00 0.999984
8 8 Z 1
años año NCMP000 1
y y CC 0.999962
por por SPS00 1
el el DA0MS0 1
momento momento NCMS000 1
no no RN 0.998134
han haber VAIP3P0 0.44
tenido tener VMP00SM 1
problema problema NCMS000 1
alguno alguno PI0MS000 0.5
con con SPS00 1
ella él PP3FS000 1
. . Fp 1

A a SPS00 0.996023
continuación continuación NCFS000 1
os os PP2CP000 0.773585
detallos detallos NCMP000 1
algunos alguno DI0MP0 0.476266
aspectos aspecto NCMP000 1
que que PR0CN000 0.562517
considero considerar VMIP1S0 1
interesantes interesante AQ0CP0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
misma mismo AQ0FS0 0.924757
y y CC 0.999962
que que PR0CN000 0.562517
son ser VSIP3P0 0.988842
los el DA0MP0 0.976481
que que PR0CN000 0.562517
más más RG 1
destacan destacar VMIP3P0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
misma mismo AQ0FS0 0.924757
. . Fp 1

RELACIÓN_CALIDAD-PRECIO relación_calidad-precio NP00000 1
. . Fp 1

= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
En en NP00000 1
este este DD0MS0 0.960092
caso caso NCMS000 0.99812
es ser VSIP3S0 1
para para SPS00 0.999103
mi mi DP1CSS 0.999101
uno uno PI0MS000 0.969022
de de SPS00 0.999984
los el DA0MP0 0.976481
factores factor NCMP000 1
más más RG 1
importantes importante AQ0CP0 1
más más RG 1
importantes importante AQ0CP0 1
que que PR0CN000 0.562517
hay haber VMIP3S0 1
que que CS 0.437483
tener_en_cuenta tener_en_cuenta VMN0000 1
a a SPS00 0.996023
la el DA0FS0 0.972269
hora hora NCFS000 1
de de SPS00 0.999984
comprar comprar VMN0000 1
o o CC 0.999769
no no RN 0.998134
un uno DI0MS0 0.987295
producto producto NCMS000 0.980769
. . Fp 1
después_de después_de SPS00 1
más más RG 1
de de SPS00 0.999984
dos 2 Z 0.991679
años año NCMP000 1
de de SPS00 0.999984
uso uso NCMS000 0.98913
creo crear VMIP1S0 0.5
que que CS 0.437483
la el DA0FS0 0.972269
relación relación NCFS000 1
entre entre SPS00 0.998082
calidad calidad NCFS000 1
y y CC 0.999962
precio precio NCMS000 0.97619
es ser VSIP3S0 1
excelente excelente AQ0CS0 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
la lo PP3FSA00 0.0277039
convierte convertir VMIP3S0 0.991803
en en SPS00 1
una uno DI0FS0 0.951575
excelente excelente AQ0CS0 1
compra compra NCFS000 0.561644
. . Fp 1

RAPIDEZ_DE_LAVADO rapidez_de_lavado NP00000 1
. . Fp 1

= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
= = Fz 1
El el NP00000 1
tiempo tiempo NCMS000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
es ser VSIP3S0 1
básico básico AQ0MS0 1
a a SPS00 0.996023
la el DA0FS0 0.972269
hora hora NCFS000 1
de de SPS00 1
el el DA0MS0 1
ahorro ahorro NCMS000 0.973453
ya_que ya_que CS 1
cuanto cuanto RG 0.716814
más más RG 1
se se P00CN000 0.465639
alargue alargar VMSP3S0 0.0357218
el el DA0MS0 1
tiempo tiempo NCMS000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
para para SPS00 0.999103
los el DA0MP0 0.976481
mismos mismo AQ0MP0 0.909836
resultados resultado NCMP000 0.991071
más más RG 1
se se P00CN000 0.465639
gasta gastar VMIP3S0 0.994868
en en SPS00 1
agua agua NCCS000 0.99177
, , Fc 1
en en SPS00 1
electricidad electricidad NCFS000 1
.... .... Fz 1
y y CC 0.999962
en en SPS00 1
un uno DI0MS0 0.987295
lavado lavado NCMS000 0.308275
el el DA0MS0 1
ahorro ahorro NCMS000 0.973453
es ser VSIP3S0 1
poco poco PI0MS000 0.333333
pero pero CC 0.999764
, , Fc 1
si si CS 0.99954
tenemos tener VMIP1P0 1
esto este PD0NS000 1
en en SPS00 1
cuenta cuenta NCFS000 0.774691
, , Fc 1
a a SPS00 0.996023
lo el DA0NS0 0.457533
largo largo AQ0MS0 0.465517
de de SPS00 0.999984
los el DA0MP0 0.976481
años año NCMP000 1
el el DA0MS0 1
ahorro ahorro NCMS000 0.973453
es ser VSIP3S0 1
más más RG 1
que que CS 0.437483
considerable considerable AQ0CS0 1
. . Fp 1

