Hace hacer VMIP3S0 1
dos 2 Z 0.991679
años año NCMP000 1
, , Fc 1
mi mi DP1CSS 0.999101
lavadora lavadora NCFS000 0.414738
, , Fc 1
una uno DI0FS0 0.951575
Zanussi zanussi NP00000 1
, , Fc 1
acabó acabar VMIS3S0 1
estropeando estropear VMG0000 1
se se PP3CN000 1
, , Fc 1
y y CC 0.999962
me me PP1CS000 0.89124
costaba costar VMII3S0 0.65
más más RG 1
el el DA0MS0 1
arreglo arreglo NCMS000 0.973496
que que CS 0.437483
una uno DI0FS0 0.951575
nueva nuevo AQ0FS0 0.995283
, , Fc 1
así así RG 0.998812
que que PR0CN000 0.562517
empecé empezar VMIS1S0 1
a a SPS00 0.996023
mirar mirar VMN0000 1
, , Fc 1
y y CC 0.999962
por_supuesto por_supuesto RG 1
con con SPS00 1
bastante bastante DI0CS0 0.218884
prisa prisa NCFS000 1
, , Fc 1
ya_que ya_que CS 1
por_entonces por_entonces RG 1
, , Fc 1
mi mi DP1CSS 0.999101
hijo hijo NCMS000 1
mayor mayor AQ0CS0 0.997925
, , Fc 1
tenía tener VMII3S0 0.63448
18 18 Z 1
meses mes NCMP000 0.992424
y y CC 0.999962
no no RN 0.998134
me me PP1CS000 0.89124
apetecía apetecer VMII3S0 0.644734
estar estar VAN0000 1
lavando lavar VMG0000 1
a a SPS00 0.996023
mano mano NCFS000 0.992095
. . Fp 1

fui ser VSIS1S0 0.738095
a a SPS00 0.996023
una uno DI0FS0 0.951575
tienda tienda NCFS000 0.833009
de de SPS00 0.999984
electrodomésticos electrodoméstico NCMP000 0.432737
, , Fc 1
a a SPS00 1
el el DA0MS0 1
lado lado NCMS000 1
de de SPS00 0.999984
casa casa NCFS000 0.979058
de de SPS00 0.999984
mi mi DP1CSS 0.999101
madre madre NCFS000 1
, , Fc 1
donde donde PR000000 0.967437
compramos comprar VMIP1P0 0.649988
toda todo DI0FS0 0.982026
la el DA0FS0 0.972269
familia familia NCFS000 1
, , Fc 1
así así RG 0.998812
que que CS 0.437483
son ser VSIP3P0 0.988842
de de SPS00 0.999984
confianza confianza NCFS000 1
total total AQ0CS0 0.987805
, , Fc 1
y y CC 0.999962
me me PP1CS000 0.89124
recomendaron recomendar VMIS3P0 1
ésta este PD0FS000 1
lavadora lavador AQ0FS0 0.585262
. . Fp 1

No no RN 0.998045
quisiera querer VMSI3S0 0.5
equivocar equivocar VMN0000 1
me me PP1CS000 1
, , Fc 1
pero pero CC 0.999764
creo crear VMIP1S0 0.5
que que CS 0.437483
me me PP1CS000 0.89124
costó costar VMIS3S0 1
unos uno DI0MP0 0.883987
290 290 Z 1
  Fz 1
Es es NP00000 1
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
muy muy RG 1
completa completo AQ0FS0 0.962264
, , Fc 1
tiene tener VMIP3S0 1
6kg 6kg Z 1
de de SPS00 0.999984
carga carga NCFS000 0.952569
, , Fc 1
y y CC 0.999962
a a SPS00 0.996023
mí mí PP1CSO00 1
acostumbrada acostumbrar VMP00SF 1
a a SPS00 0.996023
una uno DI0FS0 0.951575
de de SPS00 0.999984
4kg,fue 4kg,fue Z 1
todo todo DI0MS0 0.560961
un uno DI0MS0 0.987295
alivio alivio NCMS000 0.973497
, , Fc 1
lo el DA0NS0 0.457533
único único AQ0MS0 1
malo malo NCMS000 0.342913
que que PR0CN000 0.562517
le le PP3CSD00 1
encuentro encontrar VMIP1S0 0.430556
es ser VSIP3S0 1
que que CS 0.437483
no no RN 0.998134
puedo poder VMIP1S0 1
lavar lavar VMN0000 1
los el DA0MP0 0.976481
edredones edredón NCMP000 1
y y CC 0.999962
mantas manta NCFP000 1
, , Fc 1
pero pero CC 0.999764
bueno bueno I 0.548077
....... ....... Fz 1
Tiene tiene NP00000 1
16 16 Z 1
programas programa NCMP000 0.97619
: : Fd 1
-1-Normal -1-Normal Z 1
frío frío NCMS000 0.80531
; ; Fx 1
es ser VSIP3S0 1
lavado lavado NCMS000 0.308275
normal normal AQ0CS0 0.986111
y y CC 0.999962
con con SPS00 1
agua agua NCCS000 0.99177
fría frío AQ0FS0 0.955319
y y CC 0.999962
dura duro AQ0FS0 0.975904
unos uno DI0MP0 0.883987
90 90 Z 1
minutos minuto NCMP000 0.991071
. . Fp 1

Ropa ropa NCFS000 0.711763
de de SPS00 0.999984
algodón algodón NCMS000 1
. . Fp 1
lino lino NCMS000 1
y y CC 0.999962
colorees colorear VMSP2S0 1
delicados delicado AQ0MP0 1
con con SPS00 1
poca poco DI0FS0 0.97619
suciedad suciedad NCFS000 1
. . Fp 1

-2-Rápido -2-Rápido Z 1
30 30 Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
corto corto AQ0MS0 0.97619
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
30º,dura 30º,dura Z 1
30 30 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
Algodón algodón NP00000 1
, , Fc 1
lino lino NCMS000 1
, , Fc 1
blanco blanco NCMS000 0.401316
ó ó CC 1
color color NCMS000 1
con con SPS00 1
poca poco DI0FS0 0.97619
suciedad suciedad NCFS000 1
. . Fp 1

-3-Normal -3-Normal Z 1
30º 30º Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
normal normal AQ0CS0 0.986111
con con SPS00 1
temperatura temperatura NCFS000 1
30º,dura 30º,dura Z 1
120 120 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
algodon algodon NCMS000 1
lino lino NCMS000 1
, , Fc 1
y y CC 0.999962
colores color NCMP000 0.99177
delicados delicado AQ0MP0 1
con con SPS00 1
ligera ligero AQ0FS0 1
suciedad suciedad NCFS000 1
. . Fp 1

-4-Normal -4-Normal Z 1
40º 40º Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
normal normal AQ0CS0 0.986111
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
40º,dura 40º,dura Z 1
125 125 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
algodon algodon NCMS000 1
, , Fc 1
lino lino NCMS000 1
y y CC 0.999962
colores color NCMP000 0.99177
sólidos sólido AQ0MP0 0.55727
, , Fc 1
con con SPS00 1
ligera ligero AQ0FS0 1
suciedad suciedad NCFS000 1
. . Fp 1

-5-Normal -5-Normal Z 1
60º 60º Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
normal normal AQ0CS0 0.986111
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
60º,dura 60º,dura Z 1
140 140 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
algodón algodón NCMS000 1
, , Fc 1
lino lino NCMS000 1
y y CC 0.999962
colores color NCMP000 0.99177
sólidos sólido AQ0MP0 0.55727
con con SPS00 1
suciedad suciedad NCFS000 1
normal normal AQ0CS0 0.986111
-6-Normal -6-Normal Z 1
90º 90º Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
normal normal AQ0CS0 0.986111
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
90º,dura 90º,dura Z 1
125 125 Z 1
mnutos mnutos NCMP000 0.916633
, , Fc 1
para para SPS00 0.999103
algodón algodón NCMS000 1
. . Fp 1
lino lino NCMS000 1
y y CC 0.999962
blanco blanco NCMS000 0.401316
con con SPS00 1
muhca muhca AQ0FS0 0.43845
suciedad suciedad NCFS000 1
. . Fp 1

-7-Prelavado -7-Prelavado Z 1
60º 60º Z 1
; ; Fx 1
prelavado prelavar VMP00SM 0.691725
y y CC 0.999962
lavado lavar VMP00SM 0.691725
normal normal AQ0CS0 0.986111
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
60º,dura 60º,dura Z 1
135 135 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
algodón algodón NCMS000 1
, , Fc 1
lino lino NCMS000 1
, , Fc 1
blanco blanco NCMS000 0.401316
y y CC 0.999962
colores color NCMP000 0.99177
sólidos sólido AQ0MP0 0.55727
con con SPS00 1
mucha mucho DI0FS0 0.99505
suciedad suciedad NCFS000 1
. . Fp 1

-8-Delicado -8-Delicado Z 1
frío frío NCMS000 0.80531
; ; Fx 1
lavado lavado NCMS000 0.308275
delicado delicado AQ0MS0 1
con con SPS00 1
agua agua NCCS000 0.99177
fría frío AQ0FS0 0.955319
, , Fc 1
dura duro AQ0FS0 0.975904
70 70 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
sintético sintético AQ0MS0 1
, , Fc 1
mezcla mezcla NCFS000 0.72093
y y CC 0.999962
agodón agodo AQAMS0 0.5
colores color NCMP000 0.99177
delicados delicado AQ0MP0 1
con con SPS00 1
poca poco DI0FS0 0.97619
suciedad suciedad NCFS000 1
. . Fp 1

-9-Delicado -9-Delicado Z 1
30º 30º Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
delicado delicado AQ0MS0 1
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
30º,dura75 30º,dura75 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
sintético sintético AQ0MS0 1
, , Fc 1
mezcla mezcla NCFS000 0.72093
y y CC 0.999962
algodón algodón NCMS000 1
colores color NCMP000 0.99177
delicados delicado AQ0MP0 1
con con SPS00 1
poca poco DI0FS0 0.97619
suciedad suciedad NCFS000 1
. . Fp 1

-10 -10 Z 1
- - Fg 1
Delicado delicado NP00000 0.288228
40º 40º Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
delicado delicado AQ0MS0 1
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
40º,dura 40º,dura Z 1
80 80 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
sintético sintético AQ0MS0 1
, , Fc 1
mezcla mezcla NCFS000 0.72093
y y CC 0.999962
algodón algodón NCMS000 1
colores color NCMP000 0.99177
delicados delicado AQ0MP0 1
con con SPS00 1
suciedad suciedad NCFS000 1
normal normal AQ0CS0 0.986111
. . Fp 1

-11-Delicado -11-Delicado Z 1
60º 60º Z 1
; ; Fx 1
lavado lavado NCMS000 0.308275
delicado delicado AQ0MS0 1
con con SPS00 1
temperatura temperatura NCFS000 1
a a SPS00 0.996023
60º,dura 60º,dura Z 1
90 90 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
sintético sintético AQ0MS0 1
, , Fc 1
mezcla mezcla NCFS000 0.72093
, , Fc 1
algodon algodon NCMS000 1
blanco blanco AQ0MS0 0.598684
y y CC 0.999962
colores color NCMP000 0.99177
solidos solidos VMP00PM 0.400158
con con SPS00 1
suciedad suciedad NCFS000 1
normal normal AQ0CS0 0.986111
. . Fp 1

-12 -12 Z 1
- - Fg 1
Lana lana NCFS000 0.711763
frío frío AQ0MS0 0.185841
; ; Fx 1
lavado lavar VMP00SM 0.691725
de de SPS00 0.999984
lana lana NCFS000 1
con con SPS00 1
agua agua NCCS000 0.99177
fría frío AQ0FS0 0.955319
, , Fc 1
dura duro AQ0FS0 0.975904
30 30 Z 1
minutos minuto NCMP000 0.991071
, , Fc 1
para para SPS00 0.999103
lana lana NCFS000 1
, , Fc 1
mezcla mezclar VMIP3S0 0.255814
lana lana NCFS000 1
, , Fc 1
blanco blanco NCMS000 0.401316
y y CC 0.999962
color color NCMS000 1
con con SPS00 1
poca poco DI0FS0 0.97619
suciedad suciedad NCFS000 1
. . Fp 1

-13 -13 Z 1
- - Fg 1
Lana lana NCFS000 0.711763
35º 35º Z 1
; ; Fx 1
lavado lavar VMP00SM 0.691725
de de SPS00 0.999984
lana lana NCFS000 1
, , Fc 1
mezcla mezclar VMIP3S0 0.255814
lana lana NCFS000 1
blanco blanco AQ0MS0 0.598684
y y CC 0.999962
color color NCMS000 1
poca poco DI0FS0 0.97619
suciedad suciedad NCFS000 1
. . Fp 1

-14-Aclarados -14-Aclarados Z 1
; ; Fx 1
por por SPS00 1
si si CS 0.99954
queremos querer VMIP1P0 1
aclarar aclarar VMN0000 1
más más RG 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
, , Fc 1
dura duro AQ0FS0 0.975904
25 25 Z 1
minutos minuto NCMP000 0.991071
. . Fp 1

-15 -15 Z 1
- - Fg 1
Centrifugado centrifugado NCMS000 0.221561
: : Fd 1
para para SPS00 0.999103
centrifugar centrifugar VMN0000 1
más más RG 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
, , Fc 1
dura duro AQ0FS0 0.975904
10 10 Z 1
minutos minuto NCMP000 0.991071
. . Fp 1

-16 -16 Z 1
- - Fg 1
Vaciado vaciado NP00000 0.196875
; ; Fx 1
es ser VSIP3S0 1
el el DA0MS0 1
final final NCFS000 0.427762
de de SPS00 1
el el DA0MS0 1
programa programa NCMS000 0.953488
dura duro AQ0FS0 0.975904
2 2 Z 1
minutos minuto NCMP000 0.991071
. . Fp 1

Los el DA0MP0 0.976481
programas programa NCMP000 0.97619
estan estan VMIP3P0 1
en en SPS00 1
una uno DI0FS0 0.951575
ruleta ruleta NCFS000 1
, , Fc 1
ponemos poner VMIP1P0 1
el el DA0MS0 1
número número NCMS000 1
de de SPS00 0.999984
programa programa NCMS000 0.953488
que que PR0CN000 0.562517
queremos querer VMIP1P0 1
utilizar utilizar VMN0000 1
, , Fc 1
le le PP3CSD00 1
damos dar VMIP1P0 1
a a SPS00 1
el el DA0MS0 1
boton boton VMIS3P0 0.923476
para para SPS00 0.999103
encender encender VMN0000 1
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
y y CC 0.999962
después después RG 1
a a SPS00 1
el el DA0MS0 1
de de SPS00 0.999984
funcionamiento funcionamiento NCMS000 1
y y CC 0.999962
a a SPS00 0.996023
lavar lavar VMN0000 1
. . Fp 1

Lleva llevar VMIP3S0 0.994792
tres 3 Z 1
compartimentos compartimento NCMP000 1
para para SPS00 0.999103
el el DA0MS0 1
detergente detergente NCMS000 0.49273
, , Fc 1
el el DA0MS0 1
de de SPS00 0.999984
el el DA0MS0 1
prelavado prelavado NCMS000 0.308275
, , Fc 1
el el DA0MS0 1
de de SPS00 0.999984
el el DA0MS0 1
lavado lavado NCMS000 0.308275
y y CC 0.999962
otro otro PI0MS000 0.387006
más más RG 1
pequeño pequeño AQ0MS0 0.884615
para para SPS00 0.999103
el el DA0MS0 1
suavizante suavizante NCCS000 0.342742
, , Fc 1
la el DA0FS0 0.972269
lejía lejía NCFS000 1
....... ....... Fz 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
queramos querer VMSP1P0 0.769229
añadir añadir VMN0000 1
, , Fc 1
la el DA0FS0 0.972269
cubeta cubeta NCFS000 1
se se P00CN000 0.465639
saca sacar VMIP3S0 0.450646
muy muy RG 1
fácilmente fácilmente RG 1
para para SPS00 0.999103
poder poder VMN0000 0.281746
limpiar limpiar VMN0000 1
la lo PP3FSA00 1
bien bien RG 0.902728
. . Fp 1

Tiene tener VMIP3S0 1
otras otro DI0FP0 0.734962
funciones función NCFP000 0.980769
además_de además_de SPS00 1
los el DA0MP0 0.976481
programas programa NCMP000 0.97619
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
clásicos clásico AQ0MP0 0.357418
: : Fd 1
- - Fg 1
Aclarado aclarado NCMS000 0.276088
extra extra AQ0CS0 0.357298
, , Fc 1
nos nos PP1CP000 0.935743
aumenta aumentar VMIP3S0 0.97619
el el DA0MS0 1
aclarado aclarado NCMS000 0.362779
en en SPS00 1
el el DA0MS0 1
lavado lavado NCMS000 0.308275
programado programar VMP00SM 1
sin sin SPS00 1
tener tener VMN0000 1
que que CS 0.437483
volver volver VMN0000 1
a a SPS00 0.996023
programar programar VMN0000 1
la el DA0FS0 0.972269
