Hola hola I 1
amigos amigo NCMP000 0.993421
! ! Fat 1
! ! Fat 1

Hace hacer VMIP3S0 1
tiempo tiempo NCMS000 1
que que PR0CN000 0.562517
quiero querer VMIP1S0 1
hablar hablar VMN0000 1
de de SPS00 0.999984
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
porque porque CS 1
es ser VSIP3S0 1
digna digno AQ0FS0 0.841093
de de SPS00 0.999984
comentar comentar VMN0000 1
. . Fp 1

Introducción_Hace introducción_hace NP00000 1
unos uno DI0MP0 0.883987
4 4 Z 1
años año NCMP000 1
cambiamos cambiar VMIP1P0 0.649998
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
porque porque CS 1
a a SPS00 1
el el DA0MS0 1
anterior anterior AQ0CS0 1
estaba estar VAII1S0 0.5
el el DA0MS0 1
técnico técnico NCMS000 0.364494
en en SPS00 1
casa casa NCFS000 0.979058
cada_dos_por_tres cada_dos_por_tres RG 1
que que CS 0.437483
si si CS 0.99954
se se P00CN000 0.465639
rompía romper VMII3S0 0.635843
la el DA0FS0 0.972269
goma goma NCFS000 1
, , Fc 1
que que CS 0.437483
que que CS 0.437483
si si CS 0.99954
hay haber VMIP3S0 1
cambiar cambiar VMN0000 1
los el DA0MP0 0.976481
rodamientos rodamiento NCMP000 1
, , Fc 1
que que CS 0.437483
si si CS 0.99954
se se P00CN000 0.465639
estropeaban estropear VMII3P0 1
los el DA0MP0 0.976481
botones botón NCMP000 0.648923
de de SPS00 1
el el DA0MS0 1
cuadro cuadro NCMS000 0.953488
de de SPS00 0.999984
mando mando NCMS000 0.673514
..... ..... Fz 1
una uno DI0FS0 0.951575
hipoteca hipoteca NCFS000 0.846947
de de SPS00 0.999984
lavadora lavadora NCFS000 0.414738
vaya ir VMSP1S0 0.221053
Así así NP00000 1
que que CS 0.437483
decidimos decidir VMIS1P0 0.54998
cambiar cambiar VMN0000 1
la lo PP3FSA00 1
, , Fc 1
ya ya RG 0.999395
era ser VSII1S0 0.491262
la el DA0FS0 0.972269
segunda 2 AO0FS0 0.982759
