INTRODUCCIÓN introducción NP00000 0.411768
: : Fd 1
En en SPS00 1
el el DA0MS0 1
piso piso NCMS000 0.983871
de de SPS00 0.999984
alquier alquier VMN0000 0.717691
tenemos tener VMIP1P0 1
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
. . Fp 1

Como como CS 0.999289
comprenderéis comprender VMIF2P0 1
, , Fc 1
no no RN 0.998134
nos nos PP1CP000 0.935743
van ir VMIP3P0 1
a a SPS00 0.996023
poner poner VMN0000 1
una uno DI0FS0 0.951575
Zanussy zanussy NP00000 1
o o CC 0.999769
una uno DI0FS0 0.951575
Balay balay NP00000 1
, , Fc 1
en en SPS00 1
un uno DI0MS0 0.987295
piso piso NCMS000 0.983871
dónde dónde PT000000 0.98913
el el DA0MS0 1
propietario propietario NCMS000 0.6426
no no RN 0.998134
lo lo PP3CNA00 0.271177
va ir VMIP3S0 1
a a SPS00 0.996023
disfrutar disfrutar VMN0000 1
, , Fc 1
por por SPS00 1
eso ese PD0NS000 1
escogió escoger VMIS3S0 1
seguramente seguramente RG 1
la el DA0FS0 0.972269
más más RG 1
baratita barato AQDFS0 0.65727
de de SPS00 1
el el DA0MS0 1
mercado mercado NCMS000 0.97619
... ... Fs 1
y y CC 0.999962
así así RG 0.998812
nos nos PP1CP000 0.935743
ha haber VAIP3S0 0.999255
salido salir VMP00SM 1
, , Fc 1
un uno DI0MS0 0.987295
tanto tanto RG 0.862252
malilla malilla NCFS000 1
. . Fp 1

MANEJO_DE_LA_LAVADORA manejo_de_la_lavadora NP00000 1
: : Fd 1
En en SPS00 1
un uno DI0MS0 0.987295
principio principio NCMS000 0.992958
no no RN 0.998134
sabíamos saber VMII1P0 1
como como CS 0.999289
iba ir VMII3S0 0.635011
la el DA0FS0 0.972269
lavadora lavador AQ0FS0 0.585262
xD xd NCFS000 0.961423
Pero pero NP00000 1
ya ya RG 0.999395
no no RN 0.998134
solo solo RG 0.0472103
nosotros nosotros PP1MP000 1
, , Fc 1
que que PR0CN000 0.562517
es ser VSIP3S0 1
normal normal AQ0CS0 0.986111
porque porque CS 1
prácticamente prácticamente RG 1
nunca nunca RG 1
habíamos haber VAII1P0 0.44
usado usar VMP00SM 1
una uno DI0FS0 0.951575
( ( Fpa 1
es ser VSIP3S0 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
tiene tener VMIP3S0 1
que que CS 0.437483
te te PP2CS000 0.940613
lo lo PP3CNA00 0.271177
hagan hacer VMSP3P0 0.885893
todo todo DI0MS0 0.560961
los el DA0MP0 0.976481
papis papi NCMP000 1
... ... Fs 1
) ) Fpt 1
sino_que sino_que CC 1
tampoco tampoco RG 1
nuestros nuestro DP1MPP 0.866379
padres padre NCMP000 1
sabían saber VMII3P0 1
como como CS 0.999289
se se P00CN000 0.465639
encendía encender VMII3S0 0.65
. . Fp 1

Metías meter VMII2S0 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
, , Fc 1
girabas girar VMII2S0 1
la el DA0FS0 0.972269
ruedecilla ruedecilla NCFS000 1
para para SPS00 0.999103
poner poner VMN0000 1
la el DA0FS0 0.972269
temperatura temperatura NCFS000 1
y y CC 0.999962
el el DA0MS0 1
modo modo NCMS000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
que que PR0CN000 0.562517
querías querer VMII2S0 1
, , Fc 1
le le PP3CSD00 1
dabas dar VMII2S0 1
a a SPS00 1
el el DA0MS0 1
botón botón NCMS000 1
de de SPS00 0.999984
Inicio inicio NP00000 1
y y CC 0.999962
pese pesar VMSP3S0 0.618942
que que CS 0.437483
la el DA0FS0 0.972269
luz luz NCFS000 1
se se P00CN000 0.465639
encendía encender VMII3S0 0.65
, , Fc 1
no no RN 0.998134
había haber VMII1S0 0.146137
manera manera NCFS000 1
de de SPS00 0.999984
que que CS 0.437483
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
trabajara trabajar VMSI3S0 0.640903
... ... Fs 1
así así RG 0.998812
estuvimos estar VAIS1P0 1
como como CS 0.999289
una uno DI0FS0 0.951575
hora hora NCFS000 1
. . Fp 1

Tampoco tampoco RG 1
el el DA0MS0 1
manual manual NCMS000 0.64261
que que PR0CN000 0.562517
nos nos PP1CP000 0.935743
dejó dejar VMIS3S0 1
el el DA0MS0 1
propietario propietario NCMS000 0.6426
no no RN 0.998134
nos nos PP1CP000 0.935743
valía valer VMII1S0 0.175434
de de SPS00 0.999984
mucho mucho RG 0.702081
, , Fc 1
ya_que ya_que CS 1
poco poco PI0MS000 0.333333
explicaba explicar VMII3S0 0.65
, , Fc 1
sobre sobre SPS00 0.997091
todo todo PI0MS000 0.43165
de de SPS00 0.999984
los el DA0MP0 0.976481
botones botón NCMP000 0.648923
que que PR0CN000 0.562517
estaban estar VAII3P0 1
encendidos encender VMP00PM 0.69174
. . Fp 1

Así así RG 0.998812
que que CS 0.437483
un uno DI0MS0 0.987295
caos caos NCMN000 1
todo todo DI0MS0 0.560961
xD xd NCFS000 0.961423
Por_lo_menos por_lo_menos NP00000 1
, , Fc 1
con con SPS00 1
el el DA0MS0 1
tiempo tiempo NCMS000 1
y y CC 0.999962
el el DA0MS0 1
manejo manejo NCMS000 0.973494
, , Fc 1
te te PP2CS000 0.940613
vas ir VMIP2S0 0.326499
acostumbrando acostumbrar VMG0000 1
a a SPS00 0.996023
ella él PP3FS000 1
y y CC 0.999962
a a SPS00 0.996023
su su DP3CS0 1
manejo manejo NCMS000 0.973494
, , Fc 1
pero pero CC 0.999764
en en SPS00 1
un uno DI0MS0 0.987295
principio principio NCMS000 0.992958
... ... Fs 1
ofú ofú NCCS000 0.749941
! ! Fat 1

Necesitas necesitar VMIP2S0 1
que que CS 0.437483
te te PP2CS000 0.940613
venga venir VMSP3S0 0.265896
hasta hasta SPS00 0.957698
el el DA0MS0 1
propio propio AQ0MS0 0.995868
fabricante fabricante NCCS000 0.442694
de de SPS00 0.999984
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
a a SPS00 0.996023
que que PR0CN000 0.562517
te te PP2CS000 0.940613
cuente contar VMSP3S0 0.618942
como como CS 0.999289
va ir VMIP3S0 1
xD xd NCFS000 0.961423
PROGRAMAS programas NP00000 1
: : Fd 1
Como como CS 0.999289
todas todo DI0FP0 0.950949
las el DA0FP0 0.970954
lavadoras lavadora NCFP000 0.411969
( ( Fpa 1
creo crear VMIP1S0 0.5
yo yo PP1CSN00 1
) ) Fpt 1
tiene tener VMIP3S0 1
los el DA0MP0 0.976481
típicos típico AQ0MP0 1
programas programa NCMP000 0.97619
para para SPS00 0.999103
prendas prenda NCFP000 0.95625
que que CS 0.437483
sean ser VSSP3P0 0.991071
de de SPS00 0.999984
seda seda NCFS000 0.658434
, , Fc 1
de de SPS00 0.999984
algodón algodón NCMS000 1
, , Fc 1
de de SPS00 0.999984
lana lana NCFS000 1
o o CC 0.999769
sintéticas sintético AQ0FP0 1
. . Fp 1

Y y CC 0.999962
con con SPS00 1
cada cada DI0CS0 1
tipo tipo NCMS000 1
de de SPS00 0.999984
prenda prenda NCFS000 0.152174
, , Fc 1
dependiendo depender VMG0000 1
sin sin SPS00 1
con con SPS00 1
ésta este PD0FS000 1
hay haber VMIP3S0 1
que que CS 0.437483
tener tener VMN0000 1
más más RG 1
cuidado cuidar VMP00SM 0.225806
por por SPS00 1
el el DA0MS0 1
tipo tipo NCMS000 1
de de SPS00 0.999984
ropa ropa NCFS000 1
que que PR0CN000 0.562517
es ser VSIP3S0 1
, , Fc 1
tendrá tener VMIF3S0 1
un uno DI0MS0 0.987295
tipo tipo NCMS000 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
u o CC 0.987805
