Hola hola I 1
compis compis NCMS000 0.500006
, , Fc 1
hace hacer VMIP3S0 1
poco poco RG 0.542435
se se P00CN000 0.465639
me me PP1CS000 0.89124
estropeo estropear VMIP1S0 0.168347
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
hacia hacia SPS00 1
7 7 Z 1
años año NCMP000 1
que que PR0CN000 0.562517
la lo PP3FSA00 0.0277039
tenía tener VMII3S0 0.63448
, , Fc 1
me me PP1CS000 0.89124
hablaron hablar VMIS3P0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
indesit indesit NCMN000 1
iwc iwc NC00000 0.538028
7128 7128 Z 1
la el DA0FS0 0.972269
marca marca NCFS000 0.972603
indesit indesit NCMN000 1
fue ser VSIS3S0 0.935924
de de SPS00 0.999984
las el DA0FP0 0.970954
primeras 1 AO0FP0 0.97619
que que PR0CN000 0.562517
compro comprar VMIP1S0 1
mi mi DP1CSS 0.999101
madre madre NCFS000 1
cuando cuando CS 0.985595
era ser VSII1S0 0.491262
pequeña pequeño AQ0FS0 0.991803
o_sea o_sea CC 1
que que PR0CN000 0.562517
hace hacer VMIP3S0 1
20 20 Z 1
años año NCMP000 1
, , Fc 1
y y CC 0.999962
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
resulto resultar VMIP1S0 1
ser ser VSN0000 0.940705
una uno DI0FS0 0.951575
campeona campeón NCFS000 0.603988
! ! Fat 1
! ! Fat 1
duro duro AQ0MS0 0.975904
12 12 Z 1
o o CC 0.999769
15 15 Z 1
años año NCMP000 1
! ! Fat 1
! ! Fat 1
en en SPS00 1
casa casa NCFS000 0.979058
eramos erar VMIP1P0 0.649988
8 8 Z 1
personas persona NCFP000 0.996689
así así RG 0.998812
que que CS 0.437483
imaginar imaginar VMN0000 1
os os PP2CP000 1
! ! Fat 1
! ! Fat 1
no no RN 0.998134
paraba parar VMII3S0 0.65
en en SPS00 1
todo todo DI0MS0 0.560961
el el DA0MS0 1
día día NCMS000 1
, , Fc 1
, , Fc 1
y y CC 0.999962
hasta hasta SPS00 0.957698
que que PR0CN000 0.562517
se se P00CN000 0.465639
jubilo jubilar VMIP1S0 1
, , Fc 1
era ser VSII1S0 0.491262
buenísima bueno AQSFS0 1
, , Fc 1
nos nos PP1CP000 0.935743
dio dar VMIS3S0 1
muy muy RG 1
buen bueno AQ0MS0 1
resultado resultado NCMS000 0.827869
así así RG 0.998812
que que CS 0.437483
aposte apostar VMSP3S0 0.618927
por por SPS00 1
comprar comprar VMN0000 1
esta este DD0FS0 0.986779
marca marca NCFS000 0.972603
otra otro DI0FS0 0.803899
vez vez NCFS000 1
, , Fc 1
ya_que ya_que CS 1
mi mi DP1CSS 0.999101
madre madre NCFS000 1
hacia hacia SPS00 1
poco poco PI0MS000 0.333333
que que PR0CN000 0.562517
también también RG 1
se se P00CN000 0.465639
la lo PP3FSA00 0.0277039
compro comprar VMIP1S0 1
. . Fp 1

DATOS_DE_LA_LAVADORA datos_de_la_lavadora NP00000 1
: : Fd 1
MOLDELO moldelo NP00000 0.413333
IWC7128 IWC7128 Z 1
MEDIDAS medidas NP00000 1
: : Fd 1
59,5 59.5 Z 1
cm centímetro NCMN000 1
de de SPS00 0.999984
largo largo RG 0.522989
85 85 Z 1
cm centímetro NCMN000 1
de de SPS00 0.999984
altura altura NCFS000 1
y y CC 0.999962
53,5 53.5 Z 1
de de SPS00 0.999984
profundidad profundidad NCFS000 1
. . Fp 1

CAPACIDAD:1 CAPACIDAD:1 Z 1
- - Fg 1
7 7 Z 1
KG_VELOCIDAD_DE_CENTRIFUGADO kg_velocidad_de_centrifugado NP00000 1
: : Fd 1
1200 1200 Z 1
