Os os PP2CP000 0.759259
voy ir VMIP1S0 1
a a SPS00 0.996023
contar contar VMN0000 1
mi mi DP1CSS 0.999101
experiencia experiencia NCFS000 1
con con SPS00 1
ésta este PD0FS000 1
lavadora lavador AQ0FS0 0.585262
. . Fp 1

El el DA0MS0 1
verano verano NCMS000 1
pasado pasar VMP00SM 0.650463
estuve estar VAIS1S0 1
en en SPS00 1
un uno DI0MS0 0.987295
piso piso NCMS000 0.983871
de de SPS00 0.999984
alquiler alquiler NCMS000 1
en en SPS00 1
la el DA0FS0 0.972269
playa playa NCFS000 1
de de SPS00 0.999984
gandia gandia NCFS000 0.600168
durante durante SPS00 1
todo todo DI0MS0 0.560961
el el DA0MS0 1
verano verano NCMS000 1
porque porque CS 1
todos todo DI0MP0 0.624221
los el DA0MP0 0.976481
compañeros compañero NCMP000 1
trabajabamos trabajabamos VMII1P0 0.954217
y y CC 0.999962
nos nos PP1CP000 0.935743
lo lo PP3CNA00 0.271177
dejaron dejar VMIS3P0 1
tirado tirar VMP00SM 0.691727
de de SPS00 0.999984
precio precio NCMS000 0.97619
. . Fp 1

La el DA0FS0 0.972269
cuestión cuestión NCFS000 1
es ser VSIP3S0 1
que que CS 0.437483
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
esta este DD0FS0 0.986779
incluidad incluidad NCFS000 1
en en SPS00 1
el el DA0MS0 1
piso piso NCMS000 0.983871
y y CC 0.999962
vamos ir VMIP1P0 0.655914
de de SPS00 0.999984
diseño diseño NCMS000 0.97619
normalita normal NCFS00D 1
pero pero CC 0.999764
nadie nadie PI0CS000 1
penso penso VMIP1S0 0.315781
que que CS 0.437483
me me PP1CS000 0.89124
iba ir VMII3S0 0.635011
a a SPS00 0.996023
dar dar VMN0000 1
esa ese DD0FS0 0.983871
guerra guerra NCFS000 1
. . Fp 1

un uno DI0MS0 0.987295
dia dia NCFS000 1
, , Fc 1
dejo dejo NCMS000 0.973497
de de SPS00 0.999984
funcionar funcionar VMN0000 1
, , Fc 1
el el DA0MS0 1
porqué porqué NCMS000 1
, , Fc 1
pues pues CS 0.998047
no no RN 0.998134
se se P00CN000 0.465639
pero pero CC 0.999764
despues despues RG 1
de de SPS00 0.999984
unas uno DI0FP0 0.937677
tres 3 Z 1
semanas semana NCFP000 1
sin sin SPS00 1
lavar lavar VMN0000 1
, , Fc 1
xq xq NC00000 0.699903
nadie nadie PI0CS000 1
no no RN 0.998134
la lo PP3FSA00 0.0277039
arreglaba arreglar VMII3S0 0.649997
porque porque CS 1
estaban estar VAII3P0 1
de de SPS00 0.999984
vacaciones vacaciones NCFP000 0.5
y y CC 0.999962
las el DA0FP0 0.970954
tiendas tienda NCFP000 0.995706
no no RN 0.998134
nos nos PP1CP000 0.935743
daban dar VMII3P0 1
una uno DI0FS0 0.951575
solución solución NCFS000 1
. . Fp 1

Bueno bueno AQ0MS0 0.450479
pues pues CS 0.998047
un uno DI0MS0 0.987295
dia dia NCFS000 1
, , Fc 1
la lo PP3FSA00 0.0277039
probamos probar VMIP1P0 0.649937
por por SPS00 1
probar probar VMN0000 1
y y CC 0.999962
funcionaba funcionar VMII3S0 0.64994
, , Fc 1
el el DA0MS0 1
problema problema NCMS000 1
que que PR0CN000 0.562517
tenia tenia NCFS000 1
era ser VSII1S0 0.491262
que que CS 0.437483
no no RN 0.998134
cogia cogia NCFS000 1
agua agua NCCS000 0.99177
y y CC 0.999962
la el DA0FS0 0.972269
ropa ropa NCFS000 1
salia salio AQ0FS0 0.400127
seca seco AQ0FS0 0.45723
xq xq NC00000 0.699903
no no RN 0.998134
se se P00CN000 0.465639
lavaba lavar VMII3S0 0.649997
. . Fp 1

El el DA0MS0 1
curso curso NCMS000 0.990196
siguiente siguiente AQ0CS0 1
me me PP1CS000 0.89124
fui ir VMIS1S0 0.261905
de de SPS00 0.999984
alquiler alquiler NCMS000 1
a a SPS00 0.996023
otro otro DI0MS0 0.612994
piso piso NCMS000 0.983871
en en SPS00 1
gandia gandia NCFS000 0.600168
tambien tambien RG 0.911112
y y CC 0.999962
lo lo PP3CNA00 0.271177
mismo mismo AQ0MS0 0.968254
, , Fc 1
bueno bueno AQ0MS0 0.451923
peor peor AQ0CS0 0.922535
, , Fc 1
un uno DI0MS0 0.987295
dia dia NCFS000 1
llego llegar VMIP1S0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
uni uni AQ0CN0 1
y y CC 0.999962
me me PP1CS000 0.89124
veo ver VMIP1S0 1
mi mi DP1CSS 0.999101
