Os os PP2CP000 0.759259
cuento contar VMIP1S0 0.430556
un uno DI0MS0 0.987295
poco poco PI0MS000 0.333333
mi mi DP1CSS 0.999101
historia historia NCFS000 1
de de SPS00 0.999984
por por SPS00 1
qué qué PT0CN000 0.687592
me me PP1CS000 0.89124
decidí decidir VMIS1S0 1
por por SPS00 1
ésta este PD0FS000 1
lavadora lavador AQ0FS0 0.585262
de de SPS00 0.999984
tamaños tamaño NCMP000 0.64273
reducidos reducir VMP00PM 1
.... .... Fz 1
Vivo vivo NP00000 1
en en SPS00 1
un uno DI0MS0 0.987295
apartamento apartamento NCMS000 1
bastante bastante RG 0.776824
pequeño pequeño AQ0MS0 0.884615
y y CC 0.999962
hace hacer VMIP3S0 1
poco poco RG 0.542435
hice hacer VMIS1S0 1
reforma reforma NCFS000 0.953488
en en SPS00 1
él él PP3MS000 1
. . Fp 1

No no RN 0.998045
sabía saber VMII3S0 0.592869
donde donde CS 0.032563
ubicar ubicar VMN0000 1
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
pues pues CS 0.998047
ya ya RG 0.999395
sabéis saber VMIP2P0 1
que que CS 0.437483
suelen soler VMIP3P0 0.972603
ser ser VSN0000 0.940705
un uno DI0MS0 0.987295
poco poco RG 0.542435
grandes grande AQ0CP0 0.962329
y y CC 0.999962
ocupan ocupar VMIP3P0 1
bastante bastante DI0CS0 0.218884
espacio espacio NCMS000 0.993421
. . Fp 1

En en SPS00 1
la el DA0FS0 0.972269
cocina cocina NCFS000 0.972603
no no RN 0.998134
quería querer VMII3S0 0.61
poner poner VMN0000 1
la lo PP3FSA00 1
pues pues CS 0.998047
es ser VSIP3S0 1
bastante bastante RG 0.776824
pequeña pequeño AQ0FS0 0.991803
... ... Fs 1
no no RN 0.998134
llega llegar VMIP3S0 0.996032
a a SPS00 0.996023
los el DA0MP0 0.976481
3 3 Z 1
metros metro NCMP000 1
cuadrados cuadrar VMP00PM 0.606065
.... .... Fz 1
y y CC 0.999962
el el DA0MS0 1
poner poner VMN0000 1
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
de de SPS00 0.999984
carga carga NCFS000 0.952569
superior superior AQ0CS0 0.992424
no no RN 0.998134
me me PP1CS000 0.89124
atraía atraer VMII3S0 0.65
nada nada PI0CS000 0.850279
..... ..... Fz 1
pues pues CS 0.998047
se se P00CN000 0.465639
desaprovecha desaprovechar VMIP3S0 0.994868
esa ese DD0FS0 0.983871
parte parte NCFS000 0.499183
de de SPS00 0.999984
encimera encimera NCFS000 0.393047
y y CC 0.999962
queda quedar VMIP3S0 0.901709
muy muy RG 1
fea feo AQ0FS0 1
en en SPS00 1
la el DA0FS0 0.972269
cocina cocina NCFS000 0.972603
... ... Fs 1
tenía tener VMII3S0 0.63448
por_lo_tanto por_lo_tanto RG 1
muy muy RG 1
claro claro AQ0MS0 0.458333
que que PR0CN000 0.562517
deseaba desear VMII3S0 0.649997
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
de de SPS00 0.999984
carga carga NCFS000 0.952569
frontal frontal AQ0CS0 0.657209
como como CS 0.999289
las el DA0FP0 0.970954
de de SPS00 0.999984
toda todo DI0FS0 0.982026
la el DA0FS0 0.972269
vida vida NCFS000 1
. . Fp 1

Tuve tener VMIS1S0 1
la el DA0FS0 0.972269
suerte suerte NCFS000 1
de de SPS00 0.999984
que que CS 0.437483
un uno DI0MS0 0.987295
amigo amigo NCMS000 0.893805
se se P00CN000 0.465639
había haber VAII1S0 0.353863
comprado comprar VMP00SM 1
ésta este PD0FS000 1
