Hola hola I 1
! ! Fat 1
! ! Fat 1

Esta este PD0FS000 0.0132212
es ser VSIP3S0 1
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
que que PR0CN000 0.562517
compramos comprar VMIP1P0 0.649988
a a SPS00 0.996023
mi mi DP1CSS 0.999101
abuela abuelo NCFS000 1
este este DD0MS0 0.960092
verano verano NCMS000 1
pasado pasar VMP00SM 0.650463
. . Fp 1

La el DA0FS0 0.972269
que que PR0CN000 0.562517
tenía tener VMII3S0 0.63448
era ser VSII1S0 0.491262
ya ya RG 0.999395
muy muy RG 1
vieja viejo AQ0FS0 0.901786
, , Fc 1
y y CC 0.999962
pese_a pese_a SPS00 1
que que CS 0.437483
ella él PP3FS000 1
se se P00CN000 0.465639
negaba negar VMII3S0 0.65
a a SPS00 0.996023
comprar comprar VMN0000 1
se se PP3CN000 1
otra otro PI0FS000 0.196101
, , Fc 1
a a SPS00 1
el el DA0MS0 1
final final NCFS000 0.427762
cogimos coger VMIS1P0 1
esta este DD0FS0 0.986779
. . Fp 1

Lo el DA0NS0 0.457533
principal principal AQ0CS0 0.986111
que que PR0CN000 0.562517
buscábamos buscar VMII1P0 1
era ser VSII1S0 0.491262
que que CS 0.437483
fuese ser VSSI1S0 0.490385
fácil fácil AQ0CS0 1
de de SPS00 0.999984
utilizar utilizar VMN0000 1
, , Fc 1
ya_que ya_que CS 1
a a SPS00 1
el el DA0MS0 1
tratar tratar VMN0000 1
se se PP3CN000 1
de de SPS00 0.999984
una uno DI0FS0 0.951575
persona persona NCFS000 0.98773
mayor mayor AQ0CS0 0.997925
pues pues CS 0.998047
les le PP3CPD00 1
cuesta costar VMIP3S0 0.835616
más más RG 1
aprender aprender VMN0000 1
nuevas nuevo AQ0FP0 0.991803
cosas cosa NCFP000 0.997312
y y CC 0.999962
sobre sobre SPS00 0.997091
todo todo DI0MS0 0.560961
estando estar VAG0000 1
acostumbrada acostumbrar VMP00SF 1
a a SPS00 0.996023
la el DA0FS0 0.972269
antigua antiguo AQ0FS0 0.953488
, , Fc 1
que que PR0CN000 0.562517
es ser VSIP3S0 1
totalmente totalmente RG 1
