EN_MI_OPINION_NO_EXISTE_UNA_MUJER_QUE_NO_DEBA_LAVAR_LA_ROPA_SIEMPRE_ESTA_AHI_LA_ROPA_SUCIA_DE_EL_MARIDO_Y_DE_SUS_HIJOS en_mi_opinion_no_existe_una_mujer_que_no_deba_lavar_la_ropa_siempre_esta_ahi_la_ropa_sucia_de_el_marido_y_de_sus_hijos NP00000 1
, , Fc 1
POR_ESO_QUIEN_MEJOR_QUE_YO_LES_RECOMIENDA_UN_LAVARROPAS_COMO_ESTE_EN_EL_QUE_SOLO_EL_TRABAJO_QUE_QUEDA_POR_HACER_ES_SEPARAR_EL_COLOR_DE_LO_BLANCO por_eso_quien_mejor_que_yo_les_recomienda_un_lavarropas_como_este_en_el_que_solo_el_trabajo_que_queda_por_hacer_es_separar_el_color_de_lo_blanco NP00000 1
; ; Fx 1
ESO_SE_HACE_HASTA_EN_LA_VIDA_MISMA eso_se_hace_hasta_en_la_vida_misma NP00000 1
, , Fc 1
ES_UN_TRABAJO_QUE_NOS_TENEMOS_QUE_TOMAR es_un_trabajo_que_nos_tenemos_que_tomar NP00000 1
; ; Fx 1
" " Fe 1
; ; Fx 1
LO_BLANCO_DE_LO_NEGRO lo_blanco_de_lo_negro NP00000 1
" " Fe 1
; ; Fx 1
, , Fc 1
SE_QUE_NO_ES_FACIL_DE_RECORDAR_A_VECES_DAN_GANAS_DE_QUE_HASTA_EN_ESO_TE_SIRVAN_ESTA_MAQUINAS se_que_no_es_facil_de_recordar_a_veces_dan_ganas_de_que_hasta_en_eso_te_sirvan_esta_maquinas NP00000 1
! ! Fat 1
! ! Fat 1
! ! Fat 1
... ... Fs 1
PERO_CREO_NO_ME_EQUIVOCO_EN_PENSAR_QUE_SON pero_creo_no_me_equivoco_en_pensar_que_son NP00000 1
UNO uno PI0MS000 0.969022
DE_LOS_INVENTOS_QUE_MAS_VENERAMOS_NOSOTRAS_LAS_MUJERES de_los_inventos_que_mas_veneramos_nosotras_las_mujeres NP00000 1
... ... Fs 1
MAS_DE_UNA_DEBE_ESTAR_PENSANDO_QUE_RAZON_QUE_TIENE mas_de_una_debe_estar_pensando_que_razon_que_tiene NP00000 1
! ! Fat 1
! ! Fat 1
! ! Fat 1
! ! Fat 1

QUIEN_NO_SUFRE_EL_LAVAR_A_MANO quien_no_sufre_el_lavar_a_mano NP00000 1
! ! Fat 1
! ! Fat 1
! ! Fat 1

TENER tener VMN0000 0.499043
UNO uno PI0MS000 0.969022
DE_ESTOS_EN_CASA_ES_UN_LUJO_QUE_NOS_DAMOS_EN_LA_VIDA de_estos_en_casa_es_un_lujo_que_nos_damos_en_la_vida NP00000 1
... ... Fs 1

