Hola hola I 1
a a SPS00 0.996023
todos todo PI0MP000 0.374889
, , Fc 1
Compre compre NP00000 1
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
justo justo AQ0MS0 0.733871
antes_de antes_de SPS00 1
navidades navidad NCFP000 1
. . Fp 1

Pensaba pensar VMII3S0 0.65
gastar gastar VMN0000 1
me me PP1CS000 1
unos uno DI0MP0 0.883987
300 300 Z 1
  Fz 1
en en SPS00 1
una uno DI0FS0 0.951575
y y CC 0.999962
esta este PD0FS000 0.0132212
costaba costar VMII3S0 0.65
unos uno DI0MP0 0.883987
350 350 Z 1
  Fz 1
( ( Fpa 1
en en SPS00 1
el el DA0MS0 1
carrefour carrefour NCMS000 1
) ) Fpt 1
así así RG 0.998812
que que CS 0.437483
se se P00CN000 0.465639
me me PP1CS000 0.89124
alejaba alejar VMII3S0 0.65
un uno DI0MS0 0.987295
poco poco PI0MS000 0.333333
de de SPS00 1
el el DA0MS0 1
presupuesto presupuesto NCMS000 0.310909
. . Fp 1

Mi mi DP1CSS 0.999101
sorpresa sorpresa NCFS000 1
fue ser VSIS3S0 0.935924
cuando cuando CS 0.985595
en en SPS00 1
una uno DI0FS0 0.951575
esquina esquina NCFS000 0.968254
habían haber VMII3P0 0.56
unos uno DI0MP0 0.883987
pales pal NCMP000 1
con con SPS00 1
varios varios DI0MP0 0.909722
electrodomésticos electrodoméstico NCMP000 0.432737
pon poner VMM02S0 1
" " Fe 1
; ; Fx 1
pequeños pequeño AQ0MP0 0.991071
golpes golpe NCMP000 1
" " Fe 1
; ; Fx 1
y y CC 0.999962
estaba estar VAII1S0 0.5
este este DD0MS0 0.960092
modelo modelo NCCS000 0.994505
por por SPS00 1
260 260 Z 1
Eurazos eurazos NP00000 1
. . Fp 1

Así así RG 0.998812
que que CS 0.437483
no no RN 0.998134
me me PP1CS000 0.89124
lo lo PP3CNA00 0.271177
pensé pensar VMIS1S0 1
dos 2 Z 0.991679
veces vez NCFP000 1
y y CC 0.999962
me me PP1CS000 0.89124
la lo PP3FSA00 0.0277039
compre comprar VMSP3S0 0.576082
. . Fp 1

Estuvimos estar VAIS1P0 1
buscando buscar VMG0000 1
el el DA0MS0 1
pequeño pequeño AQ0MS0 0.884615
golpe golpe NCMS000 1
un uno DI0MS0 0.987295
buen bueno AQ0MS0 1
rato rato NCMS000 1
y y CC 0.999962
no no RN 0.998134
lo lo PP3CNA00 0.271177
encontramos encontrar VMIP1P0 0.65
, , Fc 1
entonces entonces RG 0.982684
el el DA0MS0 1
vendedor vendedor NCMS000 0.64273
me me PP1CS000 0.89124
dijo decir VMIS3S0 1
que que CS 0.437483
a a SPS00 0.996023
veces vez NCFP000 1
la el DA0FS0 0.972269
gente gente NCFS000 1
quiere querer VMIP3S0 0.996454
devolver devolver VMN0000 1
un uno DI0MS0 0.987295
electrodoméstico electrodoméstico NCMS000 0.499791
y y CC 0.999962
como como CS 0.999289
eso ese PD0NS000 1
no no RN 0.998134
se se P00CN000 0.465639
puede poder VMIP3S0 0.999117
dicen decir VMIP3P0 1
que que CS 0.437483
tiene tener VMIP3S0 1
un uno DI0MS0 0.987295
golpe golpe NCMS000 1
y y CC 0.999962
ya ya RG 0.999395
está estar VAIP3S0 0.999201
. . Fp 1

Lo el DA0NS0 0.457533
primero 1 AO0MS0 0.621399
que que PR0CN000 0.562517
llama llamar VMIP3S0 0.98374
la el DA0FS0 0.972269
atención atención NCFS000 0.992424
es ser VSIP3S0 1
que que CS 0.437483
cuando cuando CS 0.985595
la lo PP3FSA00 0.0277039
enciendes encender VMIP2S0 1
por por SPS00 1
primera 1 AO0FS0 0.997382
vez vez NCFS000 1
. . Fp 1

Te te PP2CS000 0.940613
quedas quedar VMIP2S0 0.00704698
un uno DI0MS0 0.987295
poco poco RG 0.542435
parado parar VMP00SM 0.631771
/ / Fh 1
a a SPS00 0.996023
porque porque CS 1
lo el DA0NS0 0.457533
que que PR0CN000 0.562517
hace hacer VMIP3S0 1
es ser VSIP3S0 1
poner poner VMN0000 1
se se PP3CN000 1
a a SPS00 0.996023
vaciar vaciar VMN0000 1
se se PP3CN000 1
de de SPS00 0.999984
agua agua NCCS000 0.99177
por por SPS00 1
si si CS 0.99954
ha haber VAIP3S0 0.999255
quedado quedar VMP00SM 1
algo algo PI0CS000 0.900246
, , Fc 1
esto este PD0NS000 1
lo lo PP3CNA00 0.271177
hace hacer VMIP3S0 1
cada cada DI0CS0 1
vez vez NCFS000 1
que que PR0CN000 0.562517
la lo PP3FSA00 0.0277039
pones poner VMIP2S0 1
a a SPS00 0.996023
lavar lavar VMN0000 1
, , Fc 1
antes_de antes_de SPS00 1
empezar empezar VMN0000 1
llenar llenar VMN0000 1
, , Fc 1
vacia vacia NCFS000 0.920093
por por SPS00 1
si si CS 0.99954
hay haber VMIP3S0 1
agua agua NCCS000 0.99177
estancada estancar VMP00SF 1
. . Fp 1
( ( Fpa 1
Cosa cosa NCFS000 0.988406
que que PR0CN000 0.562517
nunca nunca RG 1
se se P00CN000 0.465639
me me PP1CS000 0.89124
había haber VAII1S0 0.353863
ocurrido ocurrir VMP00SM 1
pensar pensar VMN0000 1
) ) Fpt 1
. . Fp 1

Las el DA0FP0 0.970954
mil 1000 Z 0.983871
revoluciones revolución NCFP000 0.995706
por por SPS00 1
minuto minuto NCMS000 0.968254
( ( Fpa 1
R.P.M. r.p.m. NP00000 0.411768
) ) Fpt 1
son ser VSIP3P0 0.988842
una uno DI0FS0 0.951575
pasada pasar VMP00SF 0.983871
. . Fp 1

Te te PP2CS000 0.940613
sacan sacar VMIP3P0 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
tan tan RG 1
seca seco AQ0FS0 0.45723
que que CS 0.437483
en en SPS00 1
un uno DI0MS0 0.987295
mal mal NCMS000 0.497537
día día NCMS000 1
de de SPS00 0.999984
invierno invierno NCMS000 1
en en SPS00 1
una uno DI0FS0 0.951575
tarde tarde NCFS000 0.271111
tendida tender VMP00SF 1
se se P00CN000 0.465639
acaba acabar VMIP3S0 0.992958
de de SPS00 0.999984
secar secar VMN0000 1
. . Fp 1

Yo yo PP1CSN00 1
creía creer VMII3S0 0.65
que que CS 0.437483
esto este PD0NS000 1
arrugaría arrugar VMIC3S0 0.649996
más más RG 1
la el DA0FS0 0.972269
ropa ropa NCFS000 1
o o CC 0.999769
la lo PP3FSA00 0.0277039
encogería encoger VMIC3S0 0.649979
o o CC 0.999769
estropearía estropear VMIC3S0 0.643749
pero pero CC 0.999764
no no RN 0.998134
, , Fc 1
funciona funcionar VMIP3S0 0.994868
a_la_perfección a_la_perfección RG 1
. . Fp 1

De de SPS00 0.999984
todas todo DI0FP0 0.950949
formas forma NCFP000 0.93956
tenemos tener VMIP1P0 1
un uno DI0MS0 0.987295
selector selector NCMS000 0.64273
para para SPS00 0.999103
controlar controlar VMN0000 1
el el DA0MS0 1
número número NCMS000 1
de de SPS00 0.999984
revoluciones revolución NCFP000 0.995706
. . Fp 1

La el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
tiene tener VMIP3S0 1
un uno DI0MS0 0.987295
montón montón NCMS000 1
de de SPS00 0.999984
programas programa NCMP000 0.97619
( ( Fpa 1
10 10 Z 1
si si CS 0.99954
no no RN 0.998134
recuerdo recordar VMIP1S0 0.314815
mal mal RG 0.497537
) ) Fpt 1
en en SPS00 1
los el DA0MP0 0.976481
que que PR0CN000 0.562517
cabe caber VMIP3S0 0.978495
destacar destacar VMN0000 1
el el DA0MS0 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
a a SPS00 0.996023
mano mano NCFS000 0.992095
. . Fp 1

¡ ¡ Faa 1
Puedes poder VMIP2S0 1
meter meter VMN0000 1
las el DA0FP0 0.970954
prendas prenda NCFP000 0.95625
etiquetadas etiquetar VMP00PF 1
como como CS 0.999289
lavar lavar VMN0000 1
solo solo AQ0MS0 0.948498
a a SPS00 0.996023
mano mano NCFS000 0.992095
! ! Fat 1

Y y CC 0.999962
os os PP2CP000 0.773585
aseguro asegurar VMIP1S0 1
que que CS 0.437483
no no RN 0.998134
les le PP3CPD00 1
pasa pasar VMIP3S0 0.985294
absolutamente absolutamente RG 1
nada nada PI0CS000 0.850279
. . Fp 1

Podéis poder VMIP2P0 0.659557
pensar pensar VMN0000 1
que que CS 0.437483
lo lo PP3CNA00 0.271177
de de SPS00 0.999984
tantos tanto DI0MP0 0.984962
programas programa NCMP000 0.97619
es ser VSIP3S0 1
un uno DI0MS0 0.987295
problema problema NCMS000 1
para para SPS00 0.999103
saber saber VMN0000 0.89604
cual cual PR0CS000 0.913223
es ser VSIP3S0 1
cual cual PI0CS000 0.0867769
. . Fp 1

Pues pues CS 0.998047
no no RN 0.998134
. . Fp 1

Hay haber VMIP3S0 1
un uno DI0MS0 0.987295
dibujito dibujo NCMS00D 0.5
de de SPS00 0.999984
una uno DI0FS0 0.951575
camisa camisa NCFS000 1
en en SPS00 1
un uno DI0MS0 0.987295
circulito círculo NCMS00D 1
azul azul AQ0CS0 0.640845
en en SPS00 1
el el DA0MS0 1
que que PR0CN000 0.562517
pones poner VMIP2S0 1
el el DA0MS0 1
selector selector NCMS000 0.64273
y y CC 0.999962
te te PP2CS000 0.940613
lava lavar VMIP3S0 0.450743
la el DA0FS0 0.972269
ropa ropa NCFS000 1
común común AQ0CS0 1
y y CC 0.999962
ya ya RG 0.999395
está estar VAIP3S0 0.999201
sin sin SPS00 1
mirar mirar VMN0000 1
nada nada PI0CS000 0.850279
más más RG 1
. . Fp 1

Si si CS 0.99954
luego luego RG 0.996689
quieres querer VMIP2S0 1
algo algo PI0CS000 0.900246
especial especial AQ0CS0 1
, , Fc 1
como como CS 0.999289
lo lo PP3CNA00 0.271177
de de SPS00 0.999984
lavar lavar VMN0000 1
a a SPS00 0.996023
mano mano NCFS000 0.992095
, , Fc 1
pues pues CS 0.998047
te te PP2CS000 0.940613
miras mirar VMIP2S0 0.126469
el el DA0MS0 1
libro libro NCMS000 0.997159
de de SPS00 0.999984
instrucciones instrucción NCFP000 1
. . Fp 1

Lava lavar VMIP3S0 0.397388
muy muy RG 1
bien bien RG 0.902728
y y CC 0.999962
además además RG 1
tiene tener VMIP3S0 1
selectores selector NCMP000 0.642718
de de SPS00 0.999984
temperatura temperatura NCFS000 1
, , Fc 1
de de SPS00 0.999984
RPM rpm NP00000 1
de de SPS00 1
el el DA0MS0 1
centrifugado centrifugado NCMS000 0.308252
, , Fc 1
de de SPS00 0.999984
media medio AQ0FS0 0.747368
carga carga NCFS000 0.952569
, , Fc 1
de de SPS00 0.999984
lavado lavado NCMS000 0.308275
rápido rápido AQ0MS0 0.980769
( ( Fpa 1
que que PR0CN000 0.562517
esta este DD0FS0 0.986779
genial genial AQ0CS0 1
) ) Fpt 1
y y CC 0.999962
de de SPS00 0.999984
dejar dejar VMN0000 1
la el DA0FS0 0.972269
ultima ultimar VMIP3S0 0.994868
fase fase NCFS000 1
( ( Fpa 1
vaciado vaciado NCMS000 0.308273
/ / Fh 1
centrifugado centrifugado NCMS000 0.308252
) ) Fpt 1
hasta hasta SPS00 0.957698
