Buena buena NP00000 0.288228
quiero querer VMIP1S0 1
comentar comentar VMN0000 1
la el DA0FS0 0.972269
lavadora lavadora NCFS000 0.414738
que que PR0CN000 0.562517
hace hacer VMIP3S0 1
un uno DI0MS0 0.987295
año año NCMS000 1
aproximadamente aproximadamente RG 1
compre comprar VMSP3S0 0.576082
para para SPS00 0.999103
la el DA0FS0 0.972269
casa casa NCFS000 0.979058
de de SPS00 0.999984
mis mi DP1CPS 0.995868
padres padre NCMP000 1
, , Fc 1
se se P00CN000 0.465639
trata tratar VMIP3S0 0.960396
de de SPS00 0.999984
una uno DI0FS0 0.951575
lavadora lavadora NCFS000 0.414738
zanussi zanussi RG 1
. . Fp 1

Me me PP1CS000 0.89124
propuse proponer VMIS1S0 1
comprar comprar VMN0000 1
esta este DD0FS0 0.986779
lavadora lavadora NCFS000 0.414738
nueva nuevo AQ0FS0 0.995283
para para SPS00 0.999103
no no RN 0.998134
tener tener VMN0000 1
que que CS 0.437483
oir oir VMN0000 0.994296
el el DA0MS0 1
ruido ruido NCMS000 1
tan tan RG 1
escandaloso escandaloso AQ0MS0 0.657233
que que CS 0.437483
metia metia NCFS000 0.77786
la el DA0FS0 0.972269
antigua antiguo AQ0FS0 0.953488
lavadora lavadora NCFS000 0.414738
y y CC 0.999962
no no RN 0.998134
solo solo AQ0MS0 0.948498
por por SPS00 1
el el DA0MS0 1
ruido ruido NCMS000 1
si si CS 0.99954
no no RN 0.998134
tambien tambien RG 0.911112
porque porque CS 1
un uno DI0MS0 0.987295
dia dia NCFS000 1
no no RN 0.998134
la lo PP3FSA00 0.0277039
ibamos ibamos VMII1P0 0.954217
a a SPS00 0.996023
encontrar encontrar VMN0000 1
en en SPS00 1
la el DA0FS0 0.972269
casa casa NCFS000 0.979058
de de SPS00 1
el el DA0MS0 1
vecino vecino NCMS000 0.771739
, , Fc 1
a a SPS00 0.996023
la el DA0FS0 0.972269
hora hora NCFS000 1
de de SPS00 0.999984
centrifugar centrifugar VMN0000 1
se se PP3CN000 0.0687218
movia movia NCFS000 1
mas mas CC 0.699537
que que CS 0.437483
los el DA0MP0 0.976481
precios precio NCMP000 1
. . Fp 1

La el DA0FS0 0.972269
verdad verdad NCFS000 1
es ser VSIP3S0 1
que que CS 0.437483
la lo PP3FSA00 0.0277039
compre comprar VMSP3S0 0.576082
a a SPS00 0.996023
medias media NCFP000 0.477273
con con SPS00 1
mi mi DP1CSS 0.999101
hermana hermano NCFS000 0.962264
yo yo PP1CSN00 1
de de SPS00 0.999984
lavar lavar VMN0000 1
no no RN 0.998134
tengo tener VMIP1S0 1
ni ni CC 0.999182
idea idea NCFS000 0.989437
, , Fc 1
y y CC 0.999962
la lo PP3FSA00 0.0277039
escogimos escoger VMIS1P0 1
porque porque CS 1
nos nos PP1CP000 0.935743
parecio parecio NCMS000 1
buenas bueno AQ0FP0 1
sus su DP3CP0 0.999692
funciones función NCFP000 0.980769
y y CC 0.999962
la el DA0FS0 0.972269
marca marca NCFS000 0.972603
nos nos PP1CP000 0.935743
daba dar VMII3S0 0.649997
mucha mucho DI0FS0 0.99505
confianza confianza NCFS000 1
